#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,Stopped,End of File
109,03-09-2024 09:20:50,8.80,66.28,2.87,,,
110,03-09-2024 09:30:50,9.07,65.76,3.02,,,
111,03-09-2024 09:40:50,9.14,67.04,3.35,,,
112,03-09-2024 09:50:50,9.29,68.10,3.72,,,
113,03-09-2024 10:00:50,9.34,68.78,3.91,,,
114,03-09-2024 10:10:50,9.31,69.05,3.93,,,
115,03-09-2024 10:20:50,9.23,69.54,3.96,,,
116,03-09-2024 10:30:50,9.21,68.87,3.80,,,
117,03-09-2024 10:40:50,9.25,72.55,4.59,,,
118,03-09-2024 10:50:50,9.00,72.86,4.40,,,
119,03-09-2024 11:00:50,8.92,71.49,4.05,,,
120,03-09-2024 11:10:50,8.76,79.19,5.36,,,
121,03-09-2024 11:20:50,8.14,81.04,5.09,,,
122,03-09-2024 11:30:50,8.26,78.42,4.73,,,
123,03-09-2024 11:40:50,8.87,76.13,4.90,,,
124,03-09-2024 11:50:50,9.35,73.31,4.83,,,
125,03-09-2024 12:00:50,9.48,72.51,4.79,,,
126,03-09-2024 12:10:50,9.30,72.94,4.70,,,
127,03-09-2024 12:20:50,9.33,73.57,4.86,,,
128,03-09-2024 12:30:50,10.10,70.16,4.92,,,
129,03-09-2024 12:40:50,9.96,71.59,5.08,,,
130,03-09-2024 12:50:50,10.40,69.93,5.16,,,
131,03-09-2024 13:00:50,10.44,69.83,5.18,,,
132,03-09-2024 13:10:50,10.71,69.15,5.30,,,
133,03-09-2024 13:20:50,10.53,69.87,5.27,,,
134,03-09-2024 13:30:50,9.92,72.71,5.26,,,
135,03-09-2024 13:40:50,8.81,85.25,6.48,,,
136,03-09-2024 13:50:50,7.78,92.59,6.67,,,
137,03-09-2024 14:00:50,7.55,93.60,6.59,,,
138,03-09-2024 14:10:50,7.39,94.31,6.54,,,
139,03-09-2024 14:20:50,7.14,94.61,6.34,,,
140,03-09-2024 14:30:50,7.22,93.98,6.32,,,
141,03-09-2024 14:40:50,7.04,94.30,6.20,,,
142,03-09-2024 14:50:50,6.95,95.09,6.22,,,
143,03-09-2024 15:00:50,7.60,95.83,6.99,,,
144,03-09-2024 15:10:50,8.26,95.55,7.60,,,
145,03-09-2024 15:20:50,8.28,94.12,7.40,,,
146,03-09-2024 15:30:50,8.23,94.17,7.36,,,
147,03-09-2024 15:40:50,7.97,93.45,6.98,,,
148,03-09-2024 15:50:50,7.74,93.91,6.83,,,
149,03-09-2024 16:00:50,7.65,94.40,6.82,,,
150,03-09-2024 16:10:50,7.53,93.64,6.57,,,
151,03-09-2024 16:20:50,7.54,94.64,6.74,,,
152,03-09-2024 16:30:50,7.64,94.40,6.81,,,
153,03-09-2024 16:40:50,7.39,93.84,6.47,,,
154,03-09-2024 16:50:50,7.25,93.71,6.31,,,
155,03-09-2024 17:00:50,7.27,93.96,6.37,,,
156,03-09-2024 17:10:50,7.22,94.03,6.33,,,
157,03-09-2024 17:20:50,7.25,94.24,6.39,,,
158,03-09-2024 17:30:50,7.09,93.74,6.15,,,
159,03-09-2024 17:40:50,6.99,94.14,6.12,,,
160,03-09-2024 17:50:50,7.08,93.70,6.14,,,
161,03-09-2024 18:00:50,6.79,93.48,5.81,,,
162,03-09-2024 18:10:50,6.57,93.79,5.65,,,
163,03-09-2024 18:20:50,6.31,93.91,5.41,,,
164,03-09-2024 18:30:50,6.23,93.78,5.31,,,
165,03-09-2024 18:40:50,6.24,93.94,5.34,,,
166,03-09-2024 18:50:50,6.28,93.64,5.34,,,
167,03-09-2024 19:00:50,6.16,93.28,5.17,,,
168,03-09-2024 19:10:50,6.07,93.68,5.13,,,
169,03-09-2024 19:20:50,6.10,93.88,5.19,,,
170,03-09-2024 19:30:50,6.13,93.98,5.24,,,
171,03-09-2024 19:40:50,5.89,94.64,5.10,,,
172,03-09-2024 19:50:50,6.02,95.38,5.35,,,
173,03-09-2024 20:00:50,6.01,95.54,5.36,,,
174,03-09-2024 20:10:50,6.05,94.98,5.31,,,
175,03-09-2024 20:20:50,6.06,94.66,5.27,,,
176,03-09-2024 20:30:50,6.02,95.05,5.30,,,
177,03-09-2024 20:40:50,5.94,94.97,5.20,,,
178,03-09-2024 20:50:50,5.74,95.30,5.05,,,
179,03-09-2024 21:00:50,5.63,95.48,4.97,,,
180,03-09-2024 21:10:50,5.71,95.65,5.08,,,
181,03-09-2024 21:20:50,5.80,95.27,5.11,,,
182,03-09-2024 21:30:50,5.75,95.26,5.05,,,
183,03-09-2024 21:40:50,5.74,95.45,5.07,,,
184,03-09-2024 21:50:50,5.77,95.39,5.09,,,
185,03-09-2024 22:00:50,5.92,94.70,5.14,,,
186,03-09-2024 22:10:50,6.01,94.24,5.16,,,
187,03-09-2024 22:20:50,6.07,93.79,5.15,,,
188,03-09-2024 22:30:50,6.13,93.44,5.16,,,
189,03-09-2024 22:40:50,6.15,92.69,5.06,,,
190,03-09-2024 22:50:50,6.17,93.48,5.21,,,
191,03-09-2024 23:00:50,5.94,93.42,4.96,,,
192,03-09-2024 23:10:50,5.45,94.90,4.70,,,
193,03-09-2024 23:20:50,5.07,95.86,4.47,,,
194,03-09-2024 23:30:50,5.00,96.32,4.46,,,
195,03-09-2024 23:40:50,4.92,96.67,4.44,,,
196,03-09-2024 23:50:50,4.86,96.82,4.40,,,
197,03-10-2024 00:00:50,5.04,96.67,4.56,,,
198,03-10-2024 00:10:50,5.13,96.77,4.67,,,
199,03-10-2024 00:20:50,5.30,96.16,4.74,,,
200,03-10-2024 00:30:50,5.38,96.10,4.81,,,
201,03-10-2024 00:40:50,5.39,95.99,4.81,,,
202,03-10-2024 00:50:50,5.37,96.01,4.79,,,
203,03-10-2024 01:00:50,5.25,96.23,4.71,,,
204,03-10-2024 01:10:50,5.05,96.49,4.54,,,
205,03-10-2024 01:20:50,5.06,96.62,4.57,,,
206,03-10-2024 01:30:50,5.02,96.74,4.54,,,
207,03-10-2024 01:40:50,5.00,96.76,4.53,,,
208,03-10-2024 01:50:50,5.04,96.82,4.58,,,
209,03-10-2024 03:00:50,5.35,96.55,4.85,,,
210,03-10-2024 03:10:50,5.55,95.98,4.97,,,
211,03-10-2024 03:20:50,5.77,95.77,5.15,,,
212,03-10-2024 03:30:50,5.76,95.81,5.14,,,
213,03-10-2024 03:40:50,5.75,95.65,5.11,,,
214,03-10-2024 03:50:50,5.91,95.13,5.19,,,
215,03-10-2024 04:00:50,6.09,95.21,5.39,,,
216,03-10-2024 04:10:50,6.29,94.84,5.53,,,
217,03-10-2024 04:20:50,6.48,94.87,5.72,,,
218,03-10-2024 04:30:50,6.69,94.05,5.81,,,
219,03-10-2024 04:40:50,6.76,93.96,5.87,,,
220,03-10-2024 04:50:50,6.72,94.42,5.90,,,
221,03-10-2024 05:00:50,6.84,94.18,5.97,,,
222,03-10-2024 05:10:50,6.97,94.06,6.09,,,
223,03-10-2024 05:20:50,7.07,93.35,6.07,,,
224,03-10-2024 05:30:50,6.94,93.99,6.04,,,
225,03-10-2024 05:40:50,6.61,93.85,5.70,,,
226,03-10-2024 05:50:50,6.07,95.39,5.39,,,
227,03-10-2024 06:00:50,5.79,96.38,5.26,,,
228,03-10-2024 06:10:50,5.72,96.63,5.23,,,
229,03-10-2024 06:20:50,5.79,96.74,5.31,,,
230,03-10-2024 06:30:50,5.76,96.70,5.28,,,
231,03-10-2024 06:40:50,5.71,96.84,5.26,,,
232,03-10-2024 06:50:50,5.71,96.73,5.24,,,
233,03-10-2024 07:00:50,5.69,96.50,5.18,,,
234,03-10-2024 07:10:50,5.72,96.83,5.27,,,
235,03-10-2024 07:20:50,5.84,96.26,5.30,,,
236,03-10-2024 07:30:50,5.74,96.24,5.19,,,
237,03-10-2024 07:40:50,5.69,96.28,5.15,,,
238,03-10-2024 07:50:50,5.72,96.78,5.26,,,
239,03-10-2024 08:00:50,5.86,96.87,5.41,,,
240,03-10-2024 08:10:50,5.98,96.73,5.51,,,
241,03-10-2024 08:20:50,6.04,96.91,5.59,,,
242,03-10-2024 08:30:50,5.99,96.76,5.52,,,
243,03-10-2024 08:40:50,5.99,96.88,5.54,,,
244,03-10-2024 08:50:50,6.17,96.85,5.72,,,
245,03-10-2024 09:00:50,6.39,96.51,5.88,,,
246,03-10-2024 09:10:50,6.36,95.85,5.75,,,
247,03-10-2024 09:20:50,6.39,96.40,5.86,,,
248,03-10-2024 09:30:50,6.45,96.74,5.98,,,
249,03-10-2024 09:40:50,6.80,96.35,6.26,,,
250,03-10-2024 09:50:50,6.79,96.25,6.24,,,
251,03-10-2024 10:00:50,6.99,96.23,6.44,,,
252,03-10-2024 10:10:50,7.18,96.31,6.64,,,
253,03-10-2024 10:20:50,7.69,95.18,6.97,,,
254,03-10-2024 10:30:50,8.20,95.57,7.54,,,
255,03-10-2024 10:40:50,8.18,94.75,7.40,,,
256,03-10-2024 10:50:50,8.53,94.60,7.73,,,
257,03-10-2024 11:00:50,8.63,94.55,7.81,,,
258,03-10-2024 11:10:50,8.79,93.56,7.82,,,
259,03-10-2024 11:20:50,8.87,94.32,8.01,,,
260,03-10-2024 11:30:50,8.46,93.10,7.42,,,
261,03-10-2024 11:40:50,8.70,92.14,7.50,,,
262,03-10-2024 11:50:50,9.12,90.55,7.67,,,
263,03-10-2024 12:00:50,8.85,89.32,7.19,,,
264,03-10-2024 12:10:50,8.87,89.82,7.30,,,
265,03-10-2024 12:20:50,8.70,87.98,6.82,,,
266,03-10-2024 12:30:50,8.63,86.48,6.51,,,
267,03-10-2024 12:40:50,8.82,86.61,6.72,,,
268,03-10-2024 12:50:50,8.89,84.62,6.45,,,
269,03-10-2024 13:00:50,10.03,73.84,5.58,,,
270,03-10-2024 13:10:50,10.08,70.42,4.95,,,
271,03-10-2024 13:20:50,9.57,72.87,4.96,,,
272,03-10-2024 13:30:50,9.30,74.30,4.97,,,
273,03-10-2024 13:40:50,9.04,74.45,4.75,,,
274,03-10-2024 13:50:50,9.07,73.62,4.62,,,
275,03-10-2024 14:00:50,8.95,80.33,5.76,,,
276,03-10-2024 14:10:50,8.62,79.86,5.35,,,
277,03-10-2024 14:20:50,8.88,76.89,5.06,,,
278,03-10-2024 14:30:50,9.24,73.62,4.78,,,
279,03-10-2024 14:40:50,9.34,71.41,4.44,,,
280,03-10-2024 14:50:50,9.07,72.13,4.33,,,
281,03-10-2024 15:00:50,9.10,72.23,4.38,,,
282,03-10-2024 15:10:50,9.31,72.31,4.59,,,
283,03-10-2024 15:20:50,9.05,71.46,4.17,,,
284,03-10-2024 15:30:50,8.85,72.20,4.12,,,
285,03-10-2024 15:40:50,8.75,72.93,4.17,,,
286,03-10-2024 15:50:50,8.76,72.94,4.19,,,
287,03-10-2024 16:00:50,8.68,73.45,4.21,,,
288,03-10-2024 16:10:50,8.64,73.55,4.19,,,
289,03-10-2024 16:20:50,8.21,84.35,5.74,,,
290,03-10-2024 16:30:50,7.26,90.93,5.88,,,
291,03-10-2024 16:40:50,6.91,92.20,5.74,,,
292,03-10-2024 16:50:50,6.88,94.13,6.01,,,
293,03-10-2024 17:00:50,6.83,94.78,6.06,,,
294,03-10-2024 17:10:50,6.79,95.29,6.09,,,
295,03-10-2024 17:20:50,6.76,95.80,6.15,,,
296,03-10-2024 17:30:50,6.52,95.90,5.92,,,
297,03-10-2024 17:40:50,6.45,96.25,5.91,,,
298,03-10-2024 17:50:50,6.76,96.82,6.30,,,
299,03-10-2024 18:00:50,6.73,96.40,6.21,,,
300,03-10-2024 18:10:50,6.61,96.17,6.05,,,
301,03-10-2024 18:20:50,6.49,96.45,5.97,,,
302,03-10-2024 18:30:50,6.48,96.55,5.97,,,
303,03-10-2024 18:40:50,6.43,96.73,5.96,,,
304,03-10-2024 18:50:50,6.42,96.83,5.96,,,
305,03-10-2024 19:00:50,6.39,96.67,5.90,,,
306,03-10-2024 19:10:50,6.21,96.15,5.64,,,
307,03-10-2024 19:20:50,6.09,96.44,5.57,,,
308,03-10-2024 19:30:50,6.04,96.67,5.55,,,
309,03-10-2024 19:40:50,5.94,96.67,5.45,,,
310,03-10-2024 19:50:50,5.94,96.76,5.47,,,
311,03-10-2024 20:00:50,6.00,96.67,5.52,,,
312,03-10-2024 20:10:50,6.08,96.78,5.61,,,
313,03-10-2024 20:20:50,6.13,96.69,5.65,,,
314,03-10-2024 20:30:50,6.12,96.49,5.61,,,
315,03-10-2024 20:40:50,6.19,96.33,5.65,,,
316,03-10-2024 20:50:50,6.20,96.59,5.70,,,
317,03-10-2024 21:00:50,5.93,97.00,5.49,,,
318,03-10-2024 21:10:50,5.83,97.29,5.44,,,
319,03-10-2024 21:20:50,5.79,97.37,5.41,,,
320,03-10-2024 21:30:50,5.72,97.38,5.35,,,
321,03-10-2024 21:40:50,5.69,97.42,5.32,,,
322,03-10-2024 21:50:50,5.68,97.46,5.31,,,
323,03-10-2024 22:00:50,5.63,97.41,5.25,,,
324,03-10-2024 22:10:50,5.60,97.43,5.23,,,
325,03-10-2024 22:20:50,5.54,97.57,5.19,,,
326,03-10-2024 22:30:50,5.59,97.56,5.23,,,
327,03-10-2024 22:40:50,5.64,97.59,5.29,,,
328,03-10-2024 22:50:50,5.67,97.69,5.34,,,
329,03-10-2024 23:00:50,5.72,97.65,5.39,,,
330,03-10-2024 23:10:50,5.85,97.64,5.51,,,
331,03-10-2024 23:20:50,5.86,97.57,5.51,,,
332,03-10-2024 23:30:50,5.84,97.57,5.49,,,
333,03-10-2024 23:40:50,5.84,97.31,5.45,,,
334,03-10-2024 23:50:50,5.85,97.46,5.49,,,
335,03-11-2024 00:00:50,5.93,97.55,5.57,,,
336,03-11-2024 00:10:50,5.98,97.57,5.63,,,
337,03-11-2024 00:20:50,6.02,97.58,5.67,,,
338,03-11-2024 00:30:50,6.02,97.47,5.66,,,
339,03-11-2024 00:40:50,6.01,97.53,5.66,,,
340,03-11-2024 00:50:50,6.04,97.41,5.66,,,
341,03-11-2024 01:00:50,5.97,97.42,5.60,,,
342,03-11-2024 01:10:50,5.92,97.37,5.54,,,
343,03-11-2024 01:20:50,5.76,97.24,5.36,,,
344,03-11-2024 01:30:50,5.69,97.48,5.33,,,
345,03-11-2024 01:40:50,5.67,97.29,5.28,,,
346,03-11-2024 01:50:50,5.41,96.95,4.97,,,
347,03-11-2024 02:00:50,4.98,96.60,4.49,,,
348,03-11-2024 02:10:50,4.86,96.92,4.41,,,
349,03-11-2024 02:20:50,4.94,97.46,4.58,,,
350,03-11-2024 02:30:50,4.91,97.41,4.54,,,
351,03-11-2024 02:40:50,4.76,96.66,4.28,,,
352,03-11-2024 02:50:50,4.22,96.16,3.67,,,
353,03-11-2024 03:00:50,3.58,96.07,3.01,,,
354,03-11-2024 03:10:50,3.12,96.62,2.63,,,
355,03-11-2024 03:20:50,3.18,97.69,2.85,,,
356,03-11-2024 03:30:50,3.67,97.69,3.33,,,
357,03-11-2024 03:40:50,3.72,97.25,3.32,,,
358,03-11-2024 03:50:50,3.41,97.32,3.02,,,
359,03-11-2024 04:00:50,3.34,96.78,2.88,,,
360,03-11-2024 04:10:50,3.10,96.98,2.66,,,
361,03-11-2024 04:20:50,3.44,97.61,3.10,,,
362,03-11-2024 04:30:50,4.24,98.20,3.99,,,
363,03-11-2024 04:40:50,4.66,98.03,4.38,,,
364,03-11-2024 04:50:50,4.87,97.46,4.50,,,
365,03-11-2024 05:00:50,4.80,96.96,4.36,,,
366,03-11-2024 05:10:50,4.21,95.96,3.63,,,
367,03-11-2024 05:20:50,3.56,95.42,2.90,,,
368,03-11-2024 05:30:50,3.52,96.46,3.01,,,
369,03-11-2024 05:40:50,3.34,96.72,2.87,,,
370,03-11-2024 05:50:50,2.86,96.41,2.35,,,
371,03-11-2024 06:00:50,2.81,96.97,2.37,,,
372,03-11-2024 06:10:50,2.81,97.33,2.43,,,
373,03-11-2024 06:20:50,2.60,97.19,2.20,,,
374,03-11-2024 06:30:50,2.56,97.27,2.17,,,
375,03-11-2024 06:40:50,2.74,97.40,2.37,,,
376,03-11-2024 06:50:50,2.60,96.85,2.15,,,
377,03-11-2024 07:00:50,2.55,97.36,2.17,,,
378,03-11-2024 07:10:50,2.42,97.12,2.01,,,
379,03-11-2024 07:20:50,2.26,96.71,1.79,,,
380,03-11-2024 07:30:50,1.82,97.17,1.42,,,
381,03-11-2024 07:40:50,1.80,97.42,1.43,,,
382,03-11-2024 07:50:50,2.08,97.80,1.77,,,
383,03-11-2024 08:00:50,2.15,97.74,1.83,,,
384,03-11-2024 08:10:50,2.58,98.12,2.31,,,
385,03-11-2024 08:20:50,3.25,98.55,3.04,,,
386,03-11-2024 08:30:50,4.06,98.00,3.78,,,
387,03-11-2024 08:40:50,4.39,97.74,4.07,,,
388,03-11-2024 08:50:50,4.54,97.38,4.17,,,
389,03-11-2024 09:00:50,4.98,97.38,4.61,,,
390,03-11-2024 09:10:50,5.25,97.29,4.86,,,
391,03-11-2024 09:20:50,5.67,97.18,5.26,,,
392,03-11-2024 09:30:50,5.77,96.90,5.32,,,
393,03-11-2024 09:40:50,5.93,96.79,5.46,,,
394,03-11-2024 09:50:50,6.38,96.48,5.87,,,
395,03-11-2024 10:00:50,6.73,96.12,6.16,,,
396,03-11-2024 10:10:50,6.93,96.00,6.34,,,
397,03-11-2024 10:20:50,6.96,95.75,6.33,,,
398,03-11-2024 10:30:50,6.87,95.81,6.26,,,
399,03-11-2024 10:40:50,6.82,95.84,6.21,,,
400,03-11-2024 10:50:50,6.66,95.90,6.06,,,
401,03-11-2024 11:00:50,6.39,95.77,5.77,,,
402,03-11-2024 11:10:50,6.26,96.41,5.74,,,
403,03-11-2024 11:20:50,6.30,96.22,5.75,,,
404,03-11-2024 11:30:50,6.13,95.47,5.47,,,
405,03-11-2024 11:40:50,6.00,96.28,5.46,,,
406,03-11-2024 11:50:50,5.86,96.98,5.43,,,
407,03-11-2024 12:00:50,5.85,97.15,5.44,,,
408,03-11-2024 12:10:50,5.78,97.71,5.45,,,
409,03-11-2024 12:20:50,5.91,97.87,5.60,,,
410,03-11-2024 12:30:50,6.06,98.16,5.79,,,
411,03-11-2024 12:40:50,6.17,97.90,5.87,,,
412,03-11-2024 12:50:50,5.98,97.95,5.69,,,
413,03-11-2024 13:00:50,5.95,97.99,5.66,,,
414,03-11-2024 13:10:50,5.95,98.44,5.73,,,
415,03-11-2024 13:20:50,5.91,98.22,5.65,,,
416,03-11-2024 13:30:50,5.86,98.33,5.62,,,
417,03-11-2024 13:40:50,6.08,98.52,5.87,,,
418,03-11-2024 13:50:50,6.16,98.29,5.92,,,
419,03-11-2024 14:00:50,6.30,98.44,6.08,,,
420,03-11-2024 14:10:50,6.55,98.53,6.34,,,
421,03-11-2024 14:20:50,6.33,97.74,6.00,,,
422,03-11-2024 14:30:50,6.69,98.33,6.45,,,
423,03-11-2024 14:40:50,6.55,98.00,6.26,,,
424,03-11-2024 14:50:50,6.36,97.77,6.04,,,
425,03-11-2024 15:00:50,6.35,97.81,6.03,,,
426,03-11-2024 15:10:50,6.41,98.14,6.14,,,
427,03-11-2024 15:20:50,6.52,98.09,6.24,,,
428,03-11-2024 15:30:50,6.36,97.67,6.02,,,
429,03-11-2024 15:40:50,6.16,97.76,5.84,,,
430,03-11-2024 15:50:50,6.08,97.79,5.76,,,
431,03-11-2024 16:00:50,5.85,97.87,5.55,,,
432,03-11-2024 16:10:50,5.70,97.89,5.40,,,
433,03-11-2024 16:20:50,5.77,98.24,5.52,,,
434,03-11-2024 16:30:50,5.78,98.21,5.52,,,
435,03-11-2024 16:40:50,5.76,98.37,5.52,,,
436,03-11-2024 16:50:50,5.77,98.28,5.52,,,
437,03-11-2024 17:00:50,5.71,98.35,5.48,,,
438,03-11-2024 17:10:50,5.71,98.26,5.46,,,
439,03-11-2024 17:20:50,5.54,98.25,5.29,,,
440,03-11-2024 17:30:50,5.53,98.46,5.31,,,
441,03-11-2024 17:40:50,5.51,98.48,5.29,,,
442,03-11-2024 17:50:50,5.49,98.40,5.26,,,
443,03-11-2024 18:00:50,5.40,98.50,5.19,,,
444,03-11-2024 18:10:50,5.37,98.50,5.16,,,
445,03-11-2024 18:20:50,5.33,98.55,5.12,,,
446,03-11-2024 18:30:50,5.26,98.53,5.05,,,
447,03-11-2024 18:40:50,5.24,98.59,5.04,,,
448,03-11-2024 18:50:50,5.21,98.62,5.01,,,
449,03-11-2024 19:00:50,5.18,98.61,4.98,,,
450,03-11-2024 19:10:50,5.12,98.65,4.93,,,
451,03-11-2024 19:20:50,5.08,98.68,4.89,,,
452,03-11-2024 19:30:50,5.07,98.73,4.89,,,
453,03-11-2024 19:40:50,5.02,98.69,4.83,,,
454,03-11-2024 19:50:50,5.01,98.76,4.83,,,
455,03-11-2024 20:00:50,5.04,98.76,4.86,,,
456,03-11-2024 20:10:50,5.06,98.79,4.89,,,
457,03-11-2024 20:20:50,5.08,98.76,4.91,,,
458,03-11-2024 20:30:50,5.08,98.80,4.91,,,
459,03-11-2024 20:40:50,5.11,98.78,4.94,,,
460,03-11-2024 20:50:50,5.16,98.80,4.99,,,
461,03-11-2024 21:00:50,5.12,98.79,4.95,,,
462,03-11-2024 21:10:50,5.12,98.78,4.95,,,
463,03-11-2024 21:20:50,5.08,98.80,4.91,,,
