#,Date-Time (PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,Started Offset,End of File
222,04-06-2025 01:58:31,11.74,67.25,5.88,,,,
223,04-06-2025 02:08:31,11.59,68.40,5.99,,,,
224,04-06-2025 02:18:31,11.67,67.73,5.92,,,,
225,04-06-2025 02:28:31,11.67,71.69,6.74,,,,
226,04-06-2025 02:38:31,11.49,73.82,7.00,,,,
227,04-06-2025 02:48:31,11.35,74.94,7.08,,,,
228,04-06-2025 02:58:31,11.21,75.17,6.99,,,,
229,04-06-2025 03:08:31,11.05,75.36,6.87,,,,
230,04-06-2025 03:18:31,10.95,77.25,7.14,,,,
231,04-06-2025 03:28:31,10.90,76.09,6.87,,,,
232,04-06-2025 03:38:31,10.91,75.96,6.85,,,,
233,04-06-2025 03:48:31,10.70,85.17,8.32,,,,
234,04-06-2025 03:58:31,10.33,89.59,8.70,,,,
235,04-06-2025 04:08:31,10.04,91.81,8.78,,,,
236,04-06-2025 04:18:31,9.82,93.41,8.82,,,,
237,04-06-2025 04:28:31,9.55,93.93,8.63,,,,
238,04-06-2025 04:38:31,9.29,94.33,8.43,,,,
239,04-06-2025 04:48:31,9.22,95.27,8.51,,,,
240,04-06-2025 04:58:31,9.20,96.04,8.61,,,,
241,04-06-2025 05:08:31,9.15,96.39,8.61,,,,
242,04-06-2025 05:18:31,9.09,96.60,8.59,,,,
243,04-06-2025 05:28:31,9.07,96.89,8.61,,,,
244,04-06-2025 05:38:31,9.04,97.09,8.61,,,,
245,04-06-2025 05:48:31,9.04,97.24,8.63,,,,
246,04-06-2025 05:58:31,9.05,97.45,8.67,,,,
247,04-06-2025 06:08:31,9.02,97.55,8.66,,,,
248,04-06-2025 06:18:31,8.98,97.65,8.64,,,,
249,04-06-2025 06:28:31,8.97,97.79,8.64,,,,
250,04-06-2025 06:38:31,8.97,97.89,8.67,,,,
251,04-06-2025 06:48:31,8.98,97.98,8.69,,,,
252,04-06-2025 06:58:31,9.02,98.02,8.74,,,,
253,04-06-2025 07:08:31,9.06,98.14,8.79,,,,
254,04-06-2025 07:18:31,9.11,98.12,8.84,,,,
255,04-06-2025 07:28:31,9.11,98.17,8.84,,,,
256,04-06-2025 07:38:31,9.17,98.26,8.92,,,,
257,04-06-2025 07:48:31,9.23,98.34,8.99,,,,
258,04-06-2025 07:58:31,9.37,98.53,9.16,,,,
259,04-06-2025 08:08:31,9.58,98.47,9.36,,,,
260,04-06-2025 08:18:31,9.79,98.55,9.58,,,,
261,04-06-2025 08:28:31,9.94,98.39,9.70,,,,
262,04-06-2025 08:38:31,9.91,98.36,9.68,,,,
263,04-06-2025 08:48:31,10.03,98.39,9.80,,,,
264,04-06-2025 08:58:31,10.18,98.36,9.94,,,,
265,04-06-2025 09:08:31,10.33,98.49,10.12,,,,
266,04-06-2025 09:18:31,10.53,98.35,10.29,,,,
267,04-06-2025 09:28:31,10.55,98.28,10.30,,,,
268,04-06-2025 09:38:31,10.60,98.31,10.35,,,,
269,04-06-2025 09:48:31,10.74,98.49,10.52,,,,
270,04-06-2025 09:58:31,10.91,98.59,10.71,,,,
271,04-06-2025 10:08:31,11.10,98.72,10.92,,,,
272,04-06-2025 10:18:31,11.28,98.71,11.10,,,,
273,04-06-2025 10:28:31,11.63,98.87,11.47,,,,
274,04-06-2025 10:38:31,11.71,98.53,11.50,,,,
275,04-06-2025 10:48:31,11.73,98.60,11.53,,,,
276,04-06-2025 10:58:31,11.82,98.60,11.62,,,,
277,04-06-2025 11:08:31,11.94,98.53,11.73,,,,
278,04-06-2025 11:18:31,12.17,98.70,11.99,,,,
279,04-06-2025 11:28:31,11.93,98.23,11.67,,,,
280,04-06-2025 11:38:31,11.62,98.29,11.38,,,,
281,04-06-2025 11:48:31,12.19,98.70,12.00,,,,
282,04-06-2025 11:58:31,11.71,98.08,11.43,,,,
283,04-06-2025 12:08:31,11.46,98.28,11.21,,,,
284,04-06-2025 12:18:31,11.26,98.66,11.07,,,,
285,04-06-2025 12:28:31,11.08,98.78,10.91,,,,
286,04-06-2025 12:38:31,11.13,99.15,11.02,,,,
287,04-06-2025 12:48:31,11.09,99.15,10.98,,,,
288,04-06-2025 12:58:31,11.06,99.28,10.96,,,,
289,04-06-2025 13:08:31,11.13,99.38,11.05,,,,
290,04-06-2025 13:18:31,11.21,99.50,11.15,,,,
291,04-06-2025 13:28:31,11.18,99.51,11.12,,,,
292,04-06-2025 13:38:31,11.30,99.60,11.26,,,,
293,04-06-2025 13:48:31,11.37,99.60,11.33,,,,
294,04-06-2025 13:58:31,11.48,99.67,11.44,,,,
295,04-06-2025 14:08:31,11.50,99.53,11.44,,,,
296,04-06-2025 14:18:31,11.35,99.53,11.29,,,,
297,04-06-2025 14:28:31,11.26,99.71,11.23,,,,
298,04-06-2025 14:38:31,11.17,99.60,11.12,,,,
299,04-06-2025 14:48:31,11.14,99.73,11.11,,,,
300,04-06-2025 14:58:31,11.05,99.72,11.02,,,,
301,04-06-2025 15:08:31,11.01,99.70,10.98,,,,
302,04-06-2025 15:18:31,10.96,99.75,10.93,,,,
303,04-06-2025 15:28:31,10.90,99.82,10.89,,,,
304,04-06-2025 15:38:31,10.77,99.72,10.74,,,,
305,04-06-2025 15:48:31,10.65,99.79,10.63,,,,
306,04-06-2025 15:58:31,10.66,99.96,10.67,,,,
307,04-06-2025 16:08:31,10.75,99.94,10.75,,,,
308,04-06-2025 16:18:31,10.87,100.00,10.88,,,,
309,04-06-2025 16:28:31,11.00,100.00,11.01,,,,
310,04-06-2025 16:38:31,10.88,99.90,10.88,,,,
311,04-06-2025 16:48:31,10.69,99.91,10.69,,,,
312,04-06-2025 16:58:31,10.60,99.97,10.61,,,,
313,04-06-2025 17:08:31,10.48,99.89,10.47,,,,
314,04-06-2025 17:18:31,10.41,100.00,10.42,,,,
315,04-06-2025 17:28:31,10.33,100.00,10.34,,,,
316,04-06-2025 17:38:31,10.29,100.00,10.30,,,,
317,04-06-2025 17:48:31,10.23,100.00,10.25,,,,
318,04-06-2025 17:58:31,10.19,100.00,10.21,,,,
319,04-06-2025 18:08:31,10.18,100.00,10.19,,,,
320,04-06-2025 18:18:31,10.15,100.00,10.16,,,,
321,04-06-2025 18:28:31,10.16,100.00,10.17,,,,
322,04-06-2025 18:38:31,10.15,100.00,10.16,,,,
323,04-06-2025 18:48:31,10.15,100.00,10.16,,,,
324,04-06-2025 18:58:31,10.14,100.00,10.15,,,,
325,04-06-2025 19:08:31,10.18,100.00,10.19,,,,
326,04-06-2025 19:18:31,10.15,100.00,10.16,,,,
327,04-06-2025 19:28:31,10.14,100.00,10.15,,,,
328,04-06-2025 19:38:31,10.12,100.00,10.13,,,,
329,04-06-2025 19:48:31,10.12,100.00,10.13,,,,
330,04-06-2025 19:58:31,10.07,100.00,10.08,,,,
331,04-06-2025 20:08:31,10.01,100.00,10.03,,,,
332,04-06-2025 20:18:31,9.94,100.00,9.95,,,,
333,04-06-2025 20:28:31,9.85,100.00,9.86,,,,
334,04-06-2025 20:38:31,9.79,100.00,9.80,,,,
335,04-06-2025 20:48:31,9.74,100.00,9.75,,,,
336,04-06-2025 20:58:31,9.72,100.00,9.74,,,,
337,04-06-2025 21:08:31,9.66,100.00,9.67,,,,
338,04-06-2025 21:18:31,9.56,100.00,9.57,,,,
339,04-06-2025 21:28:31,9.46,100.00,9.47,,,,
340,04-06-2025 21:38:31,9.37,100.00,9.38,,,,
341,04-06-2025 21:48:31,9.31,100.00,9.32,,,,
342,04-06-2025 21:58:31,9.26,100.00,9.27,,,,
343,04-06-2025 22:08:31,9.22,100.00,9.23,,,,
344,04-06-2025 22:18:31,9.12,100.00,9.13,,,,
345,04-06-2025 22:28:31,9.01,100.00,9.02,,,,
346,04-06-2025 22:38:31,8.90,100.00,8.91,,,,
347,04-06-2025 22:48:31,8.78,100.00,8.79,,,,
348,04-06-2025 22:58:31,8.67,100.00,8.68,,,,
349,04-06-2025 23:08:31,8.59,100.00,8.59,,,,
350,04-06-2025 23:18:31,8.48,100.00,8.48,,,,
351,04-06-2025 23:28:31,8.45,100.00,8.46,,,,
352,04-06-2025 23:38:31,8.44,100.00,8.45,,,,
353,04-06-2025 23:48:31,8.40,100.00,8.41,,,,
354,04-06-2025 23:58:31,8.36,100.00,8.37,,,,
355,04-07-2025 00:08:31,8.30,100.00,8.31,,,,
356,04-07-2025 00:18:31,8.19,100.00,8.20,,,,
357,04-07-2025 00:28:31,8.13,100.00,8.14,,,,
358,04-07-2025 00:38:31,8.13,100.00,8.14,,,,
359,04-07-2025 00:48:31,8.12,100.00,8.12,,,,
360,04-07-2025 00:58:31,8.08,100.00,8.09,,,,
361,04-07-2025 01:08:31,8.02,100.00,8.03,,,,
362,04-07-2025 01:18:31,7.92,100.00,7.93,,,,
363,04-07-2025 01:28:31,7.79,100.00,7.80,,,,
364,04-07-2025 01:38:31,7.65,100.00,7.66,,,,
365,04-07-2025 01:48:31,7.58,100.00,7.58,,,,
366,04-07-2025 01:58:31,7.58,100.00,7.58,,,,
367,04-07-2025 02:08:31,7.52,100.00,7.52,,,,
368,04-07-2025 02:18:31,7.43,100.00,7.43,,,,
369,04-07-2025 02:28:31,7.54,100.00,7.54,,,,
370,04-07-2025 02:38:31,7.65,100.00,7.65,,,,
371,04-07-2025 02:48:31,7.67,100.00,7.68,,,,
372,04-07-2025 02:58:31,7.61,100.00,7.62,,,,
373,04-07-2025 03:08:31,7.62,100.00,7.63,,,,
374,04-07-2025 03:18:31,7.72,100.00,7.72,,,,
375,04-07-2025 03:28:31,7.76,100.00,7.77,,,,
376,04-07-2025 03:38:31,7.79,100.00,7.80,,,,
377,04-07-2025 03:48:31,7.80,100.00,7.81,,,,
378,04-07-2025 03:58:31,7.79,100.00,7.80,,,,
379,04-07-2025 04:08:31,7.79,100.00,7.80,,,,
380,04-07-2025 04:18:31,7.79,100.00,7.80,,,,
381,04-07-2025 04:28:31,7.79,100.00,7.80,,,,
382,04-07-2025 04:38:31,7.84,100.00,7.85,,,,
383,04-07-2025 04:48:31,7.83,100.00,7.83,,,,
384,04-07-2025 04:58:31,7.83,100.00,7.84,,,,
385,04-07-2025 05:08:31,7.82,100.00,7.83,,,,
386,04-07-2025 05:18:31,7.74,100.00,7.75,,,,
387,04-07-2025 05:28:31,7.65,100.00,7.66,,,,
388,04-07-2025 05:38:31,7.62,100.00,7.63,,,,
389,04-07-2025 05:48:31,7.66,100.00,7.67,,,,
390,04-07-2025 05:58:31,7.70,100.00,7.71,,,,
391,04-07-2025 06:08:31,7.72,100.00,7.73,,,,
392,04-07-2025 06:18:31,7.74,100.00,7.75,,,,
393,04-07-2025 06:28:31,7.71,100.00,7.72,,,,
394,04-07-2025 06:38:31,7.70,100.00,7.70,,,,
395,04-07-2025 06:48:31,7.65,100.00,7.66,,,,
396,04-07-2025 06:58:31,7.68,100.00,7.69,,,,
397,04-07-2025 07:08:31,7.76,100.00,7.77,,,,
398,04-07-2025 07:18:31,7.83,100.00,7.83,,,,
399,04-07-2025 07:28:31,7.82,100.00,7.83,,,,
400,04-07-2025 07:38:31,7.81,100.00,7.82,,,,
401,04-07-2025 07:48:31,7.95,100.00,7.96,,,,
402,04-07-2025 07:58:31,8.50,100.00,8.51,,,,
403,04-07-2025 08:08:31,9.03,100.00,9.04,,,,
404,04-07-2025 08:18:31,9.28,100.00,9.29,,,,
405,04-07-2025 08:28:31,9.02,100.00,9.03,,,,
406,04-07-2025 08:38:31,8.87,100.00,8.88,,,,
407,04-07-2025 08:48:31,8.72,100.00,8.73,,,,
408,04-07-2025 08:58:31,8.72,100.00,8.73,,,,
409,04-07-2025 09:08:31,8.90,100.00,8.91,,,,
410,04-07-2025 09:18:31,9.01,100.00,9.02,,,,
411,04-07-2025 09:28:31,9.19,100.00,9.20,,,,
412,04-07-2025 09:38:31,9.15,100.00,9.16,,,,
413,04-07-2025 09:48:31,9.18,100.00,9.19,,,,
414,04-07-2025 09:58:31,9.23,100.00,9.24,,,,
415,04-07-2025 10:08:31,9.31,100.00,9.32,,,,
416,04-07-2025 10:18:31,9.31,100.00,9.32,,,,
417,04-07-2025 10:28:31,9.30,100.00,9.31,,,,
418,04-07-2025 10:38:31,9.48,100.00,9.49,,,,
419,04-07-2025 10:48:31,9.52,100.00,9.53,,,,
420,04-07-2025 10:58:31,9.42,100.00,9.43,,,,
421,04-07-2025 11:08:31,9.40,100.00,9.41,,,,
422,04-07-2025 11:18:31,9.78,100.00,9.79,,,,
423,04-07-2025 11:28:31,10.30,100.00,10.32,,,,
424,04-07-2025 11:38:31,10.73,100.00,10.74,,,,
425,04-07-2025 11:48:31,10.73,100.00,10.74,,,,
426,04-07-2025 11:58:31,10.75,100.00,10.76,,,,
427,04-07-2025 12:08:31,11.00,100.00,11.01,,,,
428,04-07-2025 12:18:31,10.94,100.00,10.96,,,,
429,04-07-2025 12:28:31,11.25,100.00,11.26,,,,
430,04-07-2025 12:38:31,12.34,100.00,12.36,,,,
431,04-07-2025 12:48:31,12.84,100.00,12.86,,,,
432,04-07-2025 12:58:31,12.37,100.00,12.39,,,,
433,04-07-2025 13:08:31,12.93,100.00,12.94,,,,
434,04-07-2025 13:18:31,12.91,100.00,12.93,,,,
435,04-07-2025 13:28:31,12.72,100.00,12.73,,,,
436,04-07-2025 13:38:31,12.62,100.00,12.63,,,,
437,04-07-2025 13:48:31,12.95,100.00,12.97,,,,
438,04-07-2025 13:58:31,12.55,100.00,12.57,,,,
439,04-07-2025 14:08:31,12.48,100.00,12.49,,,,
440,04-07-2025 14:18:31,12.56,100.00,12.58,,,,
441,04-07-2025 14:28:31,12.21,100.00,12.22,,,,
442,04-07-2025 14:38:31,11.65,100.00,11.66,,,,
443,04-07-2025 14:48:31,11.26,100.00,11.28,,,,
444,04-07-2025 14:58:31,11.27,100.00,11.28,,,,
445,04-07-2025 15:08:31,11.11,100.00,11.12,,,,
446,04-07-2025 15:18:31,10.84,100.00,10.85,,,,
447,04-07-2025 15:28:31,10.63,100.00,10.64,,,,
448,04-07-2025 15:38:31,10.37,100.00,10.38,,,,
