Totem Field Climate Station
(c) Biometeorology Group - Faculty of Land and Food Systems, UBC

Date,Tair_max,Tair_min,Precipitation_total
01-Mar-1994,  11.8,  10.6,  28.2
02-Mar-1994,  13.9,   8.7,   7.4
03-Mar-1994,   9.3,   7.5,   6.9
04-Mar-1994,  11.2,   5.2,   3.6
05-Mar-1994,   7.6,   2.8,   0.0
06-Mar-1994,   7.6,   1.3,   0.0
07-Mar-1994,   8.2,   2.8,   0.0
08-Mar-1994,   9.8,   2.7,   0.0
09-Mar-1994,   9.3,   4.9,   0.0
10-Mar-1994,   8.6,   5.9,   4.1
11-Mar-1994,  11.2,   4.3,   0.0
12-Mar-1994,  10.8,   6.0,   0.5
13-Mar-1994,  12.1,   7.0,   0.3
14-Mar-1994,   9.3,   6.3,   0.0
15-Mar-1994,  10.3,   6.8,   0.3
16-Mar-1994,   8.5,   4.1,  11.7
17-Mar-1994,   7.3,   3.5,   8.4
18-Mar-1994,   8.6,   3.3,   0.0
19-Mar-1994,   7.7,   2.3,   0.5
20-Mar-1994,   6.4,   3.9,  21.8
21-Mar-1994,   6.6,   0.7,   2.3
22-Mar-1994,   6.4,   0.4,  11.4
23-Mar-1994,   7.5,   1.3,   1.0
24-Mar-1994,   9.4,   2.0,   0.0
25-Mar-1994,  10.2,   4.9,   0.0
26-Mar-1994,  14.7,   5.8,   0.0
27-Mar-1994,  16.1,   6.7,   0.0
28-Mar-1994,  17.0,   7.8,   0.0
29-Mar-1994,  18.7,  10.9,   0.0
30-Mar-1994,  14.0,  10.3,   0.0
31-Mar-1994,  12.1,   7.9,   0.0
01-Apr-1994,  13.1,   8.5,   0.0
02-Apr-1994,  12.4,   8.6,   5.3
03-Apr-1994,  13.8,   8.4,   0.0
04-Apr-1994,  10.8,   7.1,   0.0
05-Apr-1994,   9.8,   6.6,   0.8
06-Apr-1994,   7.1,   5.8,  28.2
07-Apr-1994,   9.9,   5.7,   4.1
08-Apr-1994,   9.7,   5.9,   7.1
09-Apr-1994,  13.4,   8.0,   1.5
10-Apr-1994,  12.9,   7.2,   0.0
11-Apr-1994,  13.7,   8.6,   4.8
12-Apr-1994,  12.2,   7.0,   9.1
13-Apr-1994,  11.9,   6.9,   0.5
14-Apr-1994,   8.6,   5.6,   0.5
15-Apr-1994,  13.5,   7.0,   0.0
16-Apr-1994,  16.2,   8.4,   0.0
17-Apr-1994,  16.9,   9.7,   0.0
18-Apr-1994,  18.1,  11.3,   1.5
19-Apr-1994,  16.5,  10.9,   0.8
20-Apr-1994,  15.6,   8.7,   0.0
21-Apr-1994,  16.0,   9.2,   8.1
22-Apr-1994,  14.9,   6.2,   0.0
23-Apr-1994,  15.3,   6.9,   0.0
24-Apr-1994,  11.3,   7.1,   1.5
25-Apr-1994,  13.5,   8.1,   0.0
26-Apr-1994,  13.9,  10.4,   0.0
27-Apr-1994,  14.5,   9.9,   0.0
28-Apr-1994,  16.0,   9.6,   0.0
29-Apr-1994,  16.1,   9.9,   2.5
30-Apr-1994,  14.1,   8.1,   1.3
01-May-1994,  14.3,   6.5,   1.0
02-May-1994,  13.0,   7.1,   0.8
03-May-1994,  13.8,   5.6,   0.0
04-May-1994,  14.7,  10.6,   0.3
05-May-1994,  16.3,   9.8,   0.0
06-May-1994,  17.6,  11.4,   0.0
07-May-1994,  17.2,  12.5,   0.0
08-May-1994,  20.7,  13.2,   0.0
09-May-1994,  18.5,  11.6,   0.0
10-May-1994,  20.2,  12.6,   0.0
11-May-1994,  20.2,  13.4,   0.0
12-May-1994,  15.4,  11.3,   0.0
13-May-1994,  15.5,   8.7,   0.0
14-May-1994,  14.1,   7.7,   0.5
15-May-1994,  15.3,  10.4,   0.0
16-May-1994,  14.9,  10.0,   0.5
17-May-1994,  16.7,  10.3,   0.0
18-May-1994,  18.8,  10.1,   0.0
19-May-1994,  22.6,  11.9,   0.0
20-May-1994,  14.9,  12.4,   0.0
21-May-1994,  16.6,  10.5,   0.0
22-May-1994,  18.5,  10.1,   0.0
23-May-1994,  19.3,  10.6,   0.0
24-May-1994,  20.5,  13.4,   0.0
25-May-1994,  20.2,  12.0,   0.0
26-May-1994,  16.5,  10.7,   0.0
27-May-1994,  16.3,  11.5,   0.0
28-May-1994,  11.7,   9.0,   1.0
29-May-1994,  12.5,   9.5,   1.0
30-May-1994,  15.7,   9.2,   0.0
31-May-1994,  16.5,  10.6,   0.3
01-Jun-1994,  16.5,   9.4,   0.0
02-Jun-1994,  16.0,   8.2,   0.0
03-Jun-1994,  19.0,  12.1,   0.0
04-Jun-1994,  15.6,  12.1,   0.0
05-Jun-1994,  15.5,  10.4,   0.3
06-Jun-1994,  13.9,  11.2,   5.1
07-Jun-1994,  14.8,   9.8,   0.3
08-Jun-1994,  17.1,  11.3,   0.0
09-Jun-1994,  19.9,  12.3,   0.0
10-Jun-1994,  20.2,  14.1,   0.0
11-Jun-1994,  18.6,  14.4,   2.0
12-Jun-1994,  15.1,  12.6,   0.8
13-Jun-1994,  15.2,   9.9,   0.3
14-Jun-1994,  14.8,   9.8,   0.0
15-Jun-1994,  16.3,  10.6,   0.0
16-Jun-1994,  17.9,  12.3,   0.0
17-Jun-1994,  17.6,   9.9,   0.0
18-Jun-1994,  14.1,  11.3,   1.5
19-Jun-1994,  17.8,  11.0,   0.0
20-Jun-1994,  19.5,  11.4,   0.0
21-Jun-1994,  21.2,  12.7,   0.0
22-Jun-1994,  21.5,  13.3,   0.0
23-Jun-1994,  16.3,  12.7,   0.3
24-Jun-1994,  17.0,  11.5,   0.0
25-Jun-1994,  19.5,  11.1,   0.0
26-Jun-1994,  19.2,  12.9,   0.0
27-Jun-1994,  20.8,  12.8,   0.8
28-Jun-1994,  22.3,  14.0,   0.0
29-Jun-1994,  20.0,  13.2,   0.0
30-Jun-1994,  16.9,  12.1,   0.3
01-Jul-1994,  18.9,  12.5,   0.3
02-Jul-1994,  17.1,  13.1,   0.0
03-Jul-1994,  18.2,  13.7,   0.0
04-Jul-1994,  15.5,  12.6,   0.0
05-Jul-1994,  21.0,  10.0,   0.0
06-Jul-1994,  19.5,  13.3,   0.0
07-Jul-1994,  23.5,  15.2,   0.0
08-Jul-1994,  20.3,  12.9,   0.0
09-Jul-1994,  20.5,  14.6,   0.0
10-Jul-1994,  20.4,  14.7,   0.0
11-Jul-1994,  20.8,  13.2,   0.0
12-Jul-1994,  21.3,  13.7,   0.0
13-Jul-1994,  20.8,  14.8,   0.0
14-Jul-1994,  21.1,  13.4,   0.0
15-Jul-1994,  20.6,  14.1,   0.0
16-Jul-1994,  22.1,  15.3,   0.0
17-Jul-1994,  19.6,  14.8,   0.0
18-Jul-1994,  21.0,  13.9,   0.0
19-Jul-1994,  22.9,  15.2,   0.0
20-Jul-1994,  29.6,  18.4,   0.0
21-Jul-1994,  26.8,  18.0,   0.0
22-Jul-1994,  27.1,  18.9,   0.0
23-Jul-1994,  26.9,  19.4,   0.0
24-Jul-1994,  26.4,  17.5,   0.0
25-Jul-1994,  21.8,  16.2,   0.0
26-Jul-1994,  22.7,  14.5,   0.0
27-Jul-1994,  24.5,  14.8,   0.0
28-Jul-1994,  23.6,  14.8,   0.0
29-Jul-1994,  22.5,  14.1,   0.0
30-Jul-1994,  21.1,  14.4,   0.0
31-Jul-1994,  21.9,  13.6,   0.0
01-Aug-1994,  24.3,  15.5,   0.0
02-Aug-1994,  22.9,  16.0,   0.0
03-Aug-1994,  22.6,  17.1,   0.0
04-Aug-1994,  23.3,  16.5,   0.0
05-Aug-1994,  22.4,  16.5,   0.0
06-Aug-1994,  20.6,  14.1,   0.0
07-Aug-1994,  19.4,  15.1,   0.0
08-Aug-1994,  20.1,  14.2,   0.3
09-Aug-1994,  21.4,  14.8,   0.0
10-Aug-1994,  20.7,  15.4,   0.0
11-Aug-1994,  22.3,  15.9,   0.0
12-Aug-1994,  22.6,  14.9,   0.0
13-Aug-1994,  23.0,  15.4,   0.0
14-Aug-1994,  20.5,  15.3,   0.0
15-Aug-1994,  21.3,  14.8,   0.0
16-Aug-1994,  20.9,  15.0,   0.0
17-Aug-1994,  20.9,  14.6,   0.0
18-Aug-1994,  23.0,  14.9,   0.0
19-Aug-1994,  22.9,  16.1,   0.0
20-Aug-1994,  22.5,  15.4,   0.0
21-Aug-1994,  20.5,  14.7,   0.0
22-Aug-1994,  16.9,  14.8,   0.0
23-Aug-1994,  20.4,  13.6,   0.0
24-Aug-1994,  19.0,  12.2,   0.0
25-Aug-1994,  20.2,  12.2,   0.0
26-Aug-1994,  20.5,  13.9,   0.0
27-Aug-1994,  24.6,  14.9,   0.0
28-Aug-1994,  21.0,  16.4,   0.0
29-Aug-1994,  20.4,  15.4,   0.0
30-Aug-1994,  20.6,  12.9,   0.0
31-Aug-1994,  19.6,  13.8,   0.0
01-Sep-1994,  19.1,  14.0,   0.0
02-Sep-1994,  17.9,  11.8,   0.0
03-Sep-1994,  17.5,  12.8,   1.5
04-Sep-1994,  18.8,  12.4,   0.0
05-Sep-1994,  20.3,  10.2,   0.0
06-Sep-1994,  21.8,  13.0,   0.0
07-Sep-1994,  20.4,  14.9,   0.0
08-Sep-1994,  19.2,  12.4,   0.0
09-Sep-1994,  15.4,  11.7,   0.3
10-Sep-1994,  15.8,  11.0,   0.0
11-Sep-1994,  16.4,   9.5,   0.0
12-Sep-1994,  16.1,  10.8,   0.3
13-Sep-1994,  15.8,  12.3,   0.0
14-Sep-1994,  15.9,  13.1,   0.0
15-Sep-1994,  19.1,  14.9,   0.0
16-Sep-1994,  18.3,  13.3,   0.0
17-Sep-1994,  21.8,  14.1,   0.0
18-Sep-1994,  19.0,  12.8,   0.0
19-Sep-1994,  19.9,  13.5,   0.0
20-Sep-1994,  18.2,  13.6,   0.0
21-Sep-1994,  21.2,  14.1,   0.0
22-Sep-1994,  21.4,  13.6,   0.0
23-Sep-1994,  20.0,  12.6,   0.0
24-Sep-1994,  21.5,  13.8,   0.0
25-Sep-1994,  18.7,  12.3,   0.0
26-Sep-1994,  16.2,  12.3,   0.0
27-Sep-1994,  18.4,  11.4,   0.0
28-Sep-1994,  17.3,  13.2,   0.0
29-Sep-1994,  19.3,  12.6,   0.0
30-Sep-1994,  18.0,  15.3,   0.0
01-Oct-1994,  16.4,  10.6,   0.0
02-Oct-1994,  15.9,   9.9,   0.0
03-Oct-1994,  14.9,   7.8,   0.0
04-Oct-1994,  18.9,   9.7,   0.0
05-Oct-1994,  15.0,   8.7,   0.0
06-Oct-1994,  13.3,   8.2,   0.0
07-Oct-1994,  14.3,   6.7,   0.0
08-Oct-1994,  14.9,   8.4,   0.0
09-Oct-1994,  13.3,  10.6,   0.0
10-Oct-1994,  11.6,  10.0,   0.0
11-Oct-1994,  13.3,   9.0,   0.0
12-Oct-1994,  13.3,   8.5,   0.0
13-Oct-1994,  10.6,   7.5,   0.0
14-Oct-1994,  12.6,   7.1,   0.0
15-Oct-1994,  13.6,   7.4,   0.0
16-Oct-1994,  11.6,   6.8,   0.0
17-Oct-1994,  12.1,   7.9,   0.0
18-Oct-1994,  11.5,   8.7,   0.0
19-Oct-1994,  10.1,   9.0,   0.0
20-Oct-1994,  11.4,   7.8,   0.0
21-Oct-1994,  13.8,   6.2,   0.0
22-Oct-1994,   NaN,   NaN,   0.0
23-Oct-1994,   NaN,   NaN,   0.0
24-Oct-1994,   NaN,   NaN,   0.0
25-Oct-1994,   NaN,   NaN,   0.0
26-Oct-1994,   NaN,   NaN,   0.0
27-Oct-1994,   NaN,   NaN,   0.0
28-Oct-1994,  10.6,   5.9,   0.0
29-Oct-1994,  10.6,   5.1,   0.0
30-Oct-1994,  10.2,   5.7,   0.0
31-Oct-1994,  10.9,   4.2,   0.9
01-Nov-1994,  10.1,   3.7,   0.0
02-Nov-1994,   8.1,   3.0,   0.0
03-Nov-1994,   5.6,   1.4,   0.9
04-Nov-1994,   8.3,   0.4,   0.0
05-Nov-1994,   8.3,   3.9,   0.9
06-Nov-1994,   7.8,   2.5,  10.1
07-Nov-1994,   6.8,   3.8,   3.7
08-Nov-1994,   9.2,   4.8,  21.2
09-Nov-1994,   7.6,   6.0,   7.4
10-Nov-1994,   8.0,   4.8,   0.0
11-Nov-1994,   6.4,   5.5,   6.4
12-Nov-1994,   7.9,   2.0,   0.0
13-Nov-1994,   7.7,   4.4,   1.8
14-Nov-1994,   7.9,   6.5,  14.7
15-Nov-1994,   7.5,   4.7,   2.8
16-Nov-1994,   6.4,   1.8,   0.0
17-Nov-1994,   7.3,  -0.4,   0.0
18-Nov-1994,   3.1,   0.3,   3.7
19-Nov-1994,   5.5,   0.3,  32.2
20-Nov-1994,   6.5,  -1.1,   0.0
21-Nov-1994,   3.7,  -1.3,   0.0
22-Nov-1994,   6.9,   2.2,   4.6
23-Nov-1994,   7.0,   2.5,   1.8
24-Nov-1994,   7.5,   3.6,   0.9
25-Nov-1994,   7.7,   2.6,   2.8
26-Nov-1994,   4.4,   1.8,   4.6
27-Nov-1994,   6.9,   1.4,   7.4
28-Nov-1994,   4.9,   1.3,  20.2
29-Nov-1994,   9.4,   1.8,  47.8
30-Nov-1994,  10.7,   4.4,   0.9
01-Dec-1994,   6.4,   2.8,   1.8
02-Dec-1994,   3.5,  -0.5,   2.8
03-Dec-1994,   0.7,  -4.2,   0.9
04-Dec-1994,  -0.5,  -6.6,   0.0
05-Dec-1994,   3.6,  -4.1,   0.0
06-Dec-1994,   2.1,   0.1,   4.6
07-Dec-1994,   4.5,   0.6,   5.5
08-Dec-1994,   5.5,   2.6,   2.8
09-Dec-1994,   3.8,   0.7,   2.8
10-Dec-1994,   6.2,   2.6,   1.8
11-Dec-1994,  10.6,   4.1,   2.8
12-Dec-1994,   6.0,   2.4,   4.6
13-Dec-1994,   4.0,   0.8,   0.0
14-Dec-1994,   4.7,   0.7,  12.0
15-Dec-1994,   5.2,   2.1,   8.3
16-Dec-1994,   7.8,   5.9,   1.8
17-Dec-1994,  10.4,   6.8,  32.2
18-Dec-1994,  10.5,   7.8,   1.8
19-Dec-1994,  10.2,   6.7,  58.0
20-Dec-1994,  10.4,   7.1,  15.6
21-Dec-1994,   8.4,   6.8,   0.0
22-Dec-1994,  10.0,   7.0,   0.9
23-Dec-1994,  11.7,   7.2,   0.0
24-Dec-1994,   9.3,   4.7,   1.8
25-Dec-1994,   5.8,   2.2,  32.2
26-Dec-1994,   8.6,   6.5,  19.3
27-Dec-1994,   8.9,   5.8,  31.3
28-Dec-1994,   7.2,   3.4,   0.0
29-Dec-1994,   5.2,   1.0,   0.0
30-Dec-1994,   5.8,  -1.0,   0.0
31-Dec-1994,   5.1,  -1.9,   0.0
01-Jan-1995,   3.5,  -3.2,   0.0
02-Jan-1995,   3.9,  -3.1,   0.0
03-Jan-1995,   4.3,  -3.9,   0.0
04-Jan-1995,   3.7,  -2.3,   0.9
05-Jan-1995,   4.2,  -2.1,   0.0
06-Jan-1995,   3.6,  -2.1,   0.0
07-Jan-1995,   5.9,  -1.5,   0.0
08-Jan-1995,   8.1,   4.4,   9.2
09-Jan-1995,  10.5,   6.5,  10.1
10-Jan-1995,  10.7,   6.9,   1.8
11-Jan-1995,   8.4,   5.9,  12.0
12-Jan-1995,   8.4,   6.0,  13.8
13-Jan-1995,   8.6,   5.9,   7.4
14-Jan-1995,   8.0,   5.7,  26.7
15-Jan-1995,   7.3,   5.4,   8.3
16-Jan-1995,   7.9,   3.6,   0.0
17-Jan-1995,   4.8,   3.5,  10.1
18-Jan-1995,   8.6,   4.2,  16.6
19-Jan-1995,  10.2,   3.5,   0.0
20-Jan-1995,   9.4,   2.6,   0.0
21-Jan-1995,   5.1,   1.5,   0.0
22-Jan-1995,   4.2,   0.5,   0.0
23-Jan-1995,   5.0,  -0.5,   0.9
24-Jan-1995,   6.2,   1.0,   0.0
25-Jan-1995,   7.9,   2.0,   0.0
26-Jan-1995,  10.7,   4.7,   4.6
27-Jan-1995,  10.9,   4.5,   0.0
28-Jan-1995,  10.5,   4.3,  13.8
29-Jan-1995,  11.9,   7.9,  31.3
30-Jan-1995,  13.1,   7.3,  12.0
31-Jan-1995,  11.3,   9.0,  11.0
01-Feb-1995,  10.5,   7.0,   6.4
02-Feb-1995,   8.6,   5.7,   0.0
03-Feb-1995,   8.6,   5.9,   5.5
04-Feb-1995,   9.2,   5.0,   0.0
05-Feb-1995,   8.4,   6.0,  11.0
06-Feb-1995,   8.1,   7.1,   4.6
07-Feb-1995,   8.8,   4.0,   0.0
08-Feb-1995,  11.2,   3.0,   0.0
09-Feb-1995,   8.8,   2.9,   0.0
10-Feb-1995,   6.5,   1.7,   0.0
11-Feb-1995,   7.2,   3.8,   0.9
12-Feb-1995,   4.5,  -1.0,   0.0
13-Feb-1995,   2.4,  -4.0,   0.0
14-Feb-1995,  -0.2,  -3.6,   0.0
15-Feb-1995,   5.9,  -1.9,  12.9
16-Feb-1995,   5.3,   2.9,  12.9
17-Feb-1995,   9.2,   4.2,  16.6
18-Feb-1995,   9.9,   6.7,  34.0
19-Feb-1995,  11.6,   9.2,   7.4
20-Feb-1995,  12.2,   6.7,  15.6
21-Feb-1995,   9.1,   5.7,   0.0
22-Feb-1995,   7.6,   4.4,   0.0
23-Feb-1995,  11.2,   2.9,   0.0
24-Feb-1995,   8.3,   6.8,  15.6
25-Feb-1995,   7.6,   4.3,   0.0
26-Feb-1995,   8.1,   2.9,   0.0
27-Feb-1995,   7.6,  -0.5,   0.0
28-Feb-1995,   8.2,  -0.7,   0.0
01-Mar-1995,   8.5,   1.0,   0.0
02-Mar-1995,   7.5,   1.0,   0.0
03-Mar-1995,   8.9,  -0.9,   0.0
04-Mar-1995,   4.9,   0.4,  16.6
05-Mar-1995,   1.5,  -1.2,   1.8
06-Mar-1995,   4.0,  -0.1,   1.8
07-Mar-1995,   6.9,   1.4,   0.0
08-Mar-1995,   7.8,   3.6,  21.2
09-Mar-1995,  14.6,   7.8,  11.0
10-Mar-1995,  11.7,   7.8,  10.1
11-Mar-1995,  11.1,   6.5,   8.3
12-Mar-1995,  10.2,   5.0,   0.0
13-Mar-1995,  10.6,   6.3,  10.1
14-Mar-1995,  13.3,   8.8,   6.4
15-Mar-1995,  12.1,   6.7,   6.4
16-Mar-1995,   9.3,   5.9,   0.0
17-Mar-1995,  13.1,   6.3,   3.7
18-Mar-1995,  12.9,   8.0,  18.4
19-Mar-1995,   9.0,   5.9,   4.6
20-Mar-1995,  11.8,   5.9,   9.2
21-Mar-1995,   8.0,   5.1,   0.9
22-Mar-1995,   7.1,   3.0,   0.9
23-Mar-1995,   8.6,   4.2,   0.9
24-Mar-1995,   8.7,   3.0,   0.0
25-Mar-1995,   7.6,   1.8,   0.0
26-Mar-1995,   9.1,   2.3,   0.0
27-Mar-1995,  11.2,   3.7,   0.0
28-Mar-1995,  13.0,   5.7,   0.0
29-Mar-1995,  14.0,   5.1,   0.0
30-Mar-1995,  18.4,   6.6,   0.0
31-Mar-1995,  14.9,   7.8,   1.8
01-Apr-1995,  12.3,   5.3,   0.0
02-Apr-1995,  10.5,   7.4,   0.0
03-Apr-1995,  15.0,   6.3,   0.0
04-Apr-1995,  13.1,   7.0,   6.4
05-Apr-1995,  10.4,   5.4,   0.0
06-Apr-1995,   9.8,   6.5,   4.6
07-Apr-1995,  11.2,   6.1,  22.1
08-Apr-1995,  10.9,   5.4,   1.8
09-Apr-1995,  10.9,   6.3,   0.0
10-Apr-1995,   9.3,   4.7,  12.9
11-Apr-1995,  10.1,   2.9,   0.0
12-Apr-1995,   8.7,   4.2,   6.4
13-Apr-1995,  10.5,   5.2,   2.8
14-Apr-1995,  10.1,   5.4,   0.9
15-Apr-1995,  11.1,   3.5,   0.0
16-Apr-1995,  14.6,   3.3,   0.0
17-Apr-1995,   9.1,   6.0,   9.2
18-Apr-1995,  10.4,   5.5,   0.0
19-Apr-1995,  10.6,   4.8,   0.0
20-Apr-1995,  10.7,   5.9,   0.0
21-Apr-1995,  13.0,   5.1,   0.0
22-Apr-1995,  15.1,   5.8,   0.0
23-Apr-1995,  14.8,   8.3,   0.0
24-Apr-1995,  16.5,   7.8,   0.0
25-Apr-1995,  19.7,  12.8,   0.0
26-Apr-1995,  18.3,   8.9,   0.0
27-Apr-1995,  19.6,  12.1,   0.0
28-Apr-1995,  16.7,  11.4,   0.0
29-Apr-1995,  16.2,  10.9,   0.0
30-Apr-1995,  15.0,   9.6,   0.9
01-May-1995,  13.8,   8.0,   0.0
02-May-1995,  15.4,  10.5,   8.3
03-May-1995,  13.1,   7.8,   3.7
04-May-1995,  15.1,   5.5,   0.0
05-May-1995,  15.5,  10.4,   0.0
06-May-1995,  16.3,   9.8,   0.0
07-May-1995,  15.8,  10.4,   0.0
08-May-1995,  19.4,  11.2,   0.0
09-May-1995,  15.7,  10.8,  16.6
10-May-1995,  14.8,  10.7,   2.8
11-May-1995,  15.0,   9.1,   3.7
12-May-1995,  13.6,   7.8,   0.0
13-May-1995,  17.9,  10.9,   0.0
14-May-1995,  16.3,  10.9,   0.0
15-May-1995,  17.2,  12.4,   0.0
16-May-1995,  16.8,  12.6,   0.0
17-May-1995,  15.2,  10.7,   0.0
18-May-1995,  14.9,   9.6,   0.0
19-May-1995,  16.0,   8.9,   0.0
20-May-1995,  17.1,  10.8,   0.0
21-May-1995,  19.6,  10.6,   0.0
22-May-1995,  20.8,  12.8,   0.0
23-May-1995,  17.4,  12.7,   0.0
24-May-1995,  21.3,  12.6,   0.0
25-May-1995,  23.7,  13.8,   0.0
26-May-1995,  20.8,  13.6,   0.0
27-May-1995,  19.9,  12.6,   0.0
28-May-1995,  22.5,  12.1,   0.0
29-May-1995,  20.1,  12.7,   2.8
30-May-1995,  20.6,  13.7,   0.0
31-May-1995,  18.9,  11.6,   0.0
01-Jun-1995,  19.8,  11.7,   0.0
02-Jun-1995,  19.5,  13.1,   0.0
03-Jun-1995,  20.2,  11.4,   0.0
04-Jun-1995,  16.5,  11.6,   7.4
05-Jun-1995,  16.5,  11.0,   0.0
06-Jun-1995,  16.7,  11.5,   0.9
07-Jun-1995,  17.3,  11.5,   0.0
08-Jun-1995,  21.3,  12.4,   0.0
09-Jun-1995,  24.4,  15.8,   0.0
10-Jun-1995,  19.9,  11.9,  16.6
11-Jun-1995,  17.0,  10.3,   0.0
12-Jun-1995,  15.7,  11.7,   4.6
13-Jun-1995,  17.1,  10.3,   0.9
14-Jun-1995,  16.9,  11.8,   0.9
15-Jun-1995,  17.2,  12.3,   0.0
16-Jun-1995,  19.1,  13.0,   0.0
17-Jun-1995,  15.2,  10.4,   9.2
18-Jun-1995,  16.4,  10.5,   1.8
19-Jun-1995,  16.7,  11.5,   0.0
20-Jun-1995,  16.8,  13.4,   1.8
21-Jun-1995,  18.2,  12.6,   0.0
22-Jun-1995,  19.1,  14.4,   0.0
23-Jun-1995,  21.5,  14.5,   0.0
24-Jun-1995,  21.6,  15.1,   0.0
25-Jun-1995,  20.5,  12.8,   0.0
26-Jun-1995,  21.1,  14.7,   0.0
27-Jun-1995,  24.8,  15.5,   0.0
28-Jun-1995,  27.2,  17.6,   6.4
29-Jun-1995,  27.6,  18.1,   1.8
30-Jun-1995,  26.3,  18.4,   0.0
01-Jul-1995,  22.0,  18.6,   0.0
02-Jul-1995,  20.5,  14.8,   0.0
03-Jul-1995,  19.6,  14.4,   0.0
04-Jul-1995,  20.1,  14.7,   0.0
05-Jul-1995,  21.3,  15.7,   0.0
06-Jul-1995,  20.7,  14.1,   0.0
07-Jul-1995,  19.5,  15.1,   0.0
08-Jul-1995,  21.2,  13.5,   0.0
09-Jul-1995,  18.8,  14.0,   0.0
10-Jul-1995,  19.5,  12.8,   0.0
11-Jul-1995,  20.0,  11.6,   0.0
12-Jul-1995,  20.5,  12.4,   0.0
13-Jul-1995,  19.0,  14.1,   0.0
14-Jul-1995,  20.5,  15.6,   0.0
15-Jul-1995,  20.7,  14.5,   0.0
16-Jul-1995,  21.0,  16.0,   0.0
17-Jul-1995,  22.0,  16.6,   0.0
18-Jul-1995,  25.9,  16.5,   0.0
19-Jul-1995,  27.1,  17.2,   0.0
20-Jul-1995,  23.8,  17.8,   0.0
21-Jul-1995,  20.7,  17.3,   0.0
22-Jul-1995,  21.1,  17.4,   0.0
23-Jul-1995,  21.0,  17.1,   0.0
24-Jul-1995,  20.8,  15.2,   0.9
25-Jul-1995,  18.8,  15.2,  33.1
26-Jul-1995,  20.4,  14.0,   4.6
27-Jul-1995,  19.6,  13.5,   0.0
28-Jul-1995,  20.0,  12.7,   1.8
29-Jul-1995,  18.7,  13.9,   0.0
30-Jul-1995,  19.0,  12.8,   0.0
31-Jul-1995,  21.0,  14.0,   0.0
01-Aug-1995,  20.3,  16.3,   0.0
02-Aug-1995,  20.6,  14.6,   0.0
03-Aug-1995,  22.5,  15.4,   0.0
04-Aug-1995,  24.4,  15.9,   0.0
