#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,End of File
153,06/11/2024 06:58:50,14.20,2003.84,,
154,06/11/2024 07:03:50,14.24,3064.32,,
155,06/11/2024 07:08:50,14.37,2615.68,,
156,06/11/2024 07:13:50,14.33,2079.36,,
157,06/11/2024 07:18:50,14.33,3284.48,,
158,06/11/2024 07:23:50,14.50,3595.52,,
159,06/11/2024 07:28:50,14.50,2754.56,,
160,06/11/2024 07:33:50,14.54,3187.20,,
161,06/11/2024 07:38:50,14.63,3301.12,,
162,06/11/2024 07:43:50,14.45,2106.24,,
163,06/11/2024 07:48:50,14.33,2778.88,,
164,06/11/2024 07:53:50,14.50,4134.40,,
165,06/11/2024 07:58:50,14.45,4212.48,,
166,06/11/2024 08:03:50,14.84,4520.96,,
167,06/11/2024 08:08:50,15.10,5977.60,,
168,06/11/2024 08:13:50,15.27,4784.64,,
169,06/11/2024 08:18:50,15.06,4901.12,,
170,06/11/2024 08:23:50,15.27,5242.88,,
171,06/11/2024 08:28:50,15.23,4508.16,,
172,06/11/2024 08:33:50,15.14,6405.12,,
173,06/11/2024 08:38:50,15.27,6922.24,,
174,06/11/2024 08:43:50,16.51,15078.40,,
175,06/11/2024 08:48:50,16.81,9763.84,,
176,06/11/2024 08:53:50,16.90,12887.04,,
177,06/11/2024 08:58:50,16.81,8568.32,,
178,06/11/2024 09:03:50,17.33,15232.00,,
179,06/11/2024 09:08:50,17.41,10467.84,,
180,06/11/2024 09:13:50,17.93,14095.36,,
181,06/11/2024 09:18:50,18.23,15262.72,,
182,06/11/2024 09:23:50,19.30,17541.12,,
183,06/11/2024 09:28:50,24.28,34846.72,,
184,06/11/2024 09:33:50,23.29,21862.40,,
185,06/11/2024 09:38:50,21.19,13132.80,,
186,06/11/2024 09:43:50,20.33,16389.12,,
187,06/11/2024 09:48:50,19.65,16936.96,,
188,06/11/2024 09:53:50,19.95,23511.04,,
189,06/11/2024 09:58:50,23.29,17520.64,,
190,06/11/2024 10:03:50,24.92,33382.40,,
191,06/11/2024 10:08:50,26.55,22691.84,,
192,06/11/2024 10:13:50,24.92,20899.84,,
193,06/11/2024 10:18:50,22.73,12144.64,,
194,06/11/2024 10:23:50,21.19,13521.92,,
195,06/11/2024 10:28:50,19.77,8424.96,,
196,06/11/2024 10:33:50,18.70,12999.68,,
197,06/11/2024 10:38:50,18.23,10798.08,,
198,06/11/2024 10:43:50,17.97,14464.00,,
199,06/11/2024 10:48:50,18.23,7997.44,,
200,06/11/2024 10:53:50,23.85,64471.04,,
201,06/11/2024 10:58:50,31.10,67051.52,,
202,06/11/2024 11:03:50,34.19,65392.64,,
203,06/11/2024 11:08:50,31.79,25671.68,,
204,06/11/2024 11:13:50,37.36,33720.32,,
205,06/11/2024 11:18:50,33.20,20510.72,,
206,06/11/2024 11:23:50,32.73,41420.80,,
207,06/11/2024 11:28:50,36.33,45281.28,,
208,06/11/2024 11:33:50,35.69,34467.84,,
209,06/11/2024 11:38:50,31.06,15088.64,,
210,06/11/2024 11:43:50,27.75,20121.60,,
211,06/11/2024 11:48:50,24.54,15534.08,,
212,06/11/2024 11:53:50,25.82,26060.80,,
213,06/11/2024 11:58:50,28.31,36812.80,,
214,06/11/2024 12:03:50,29.81,30156.80,,
215,06/11/2024 12:08:50,29.81,29204.48,,
216,06/11/2024 12:13:50,30.07,32512.00,,
217,06/11/2024 12:18:50,33.16,57057.28,,
218,06/11/2024 12:23:50,36.76,62771.20,,
219,06/11/2024 12:28:50,40.15,68382.72,,
220,06/11/2024 12:33:50,41.27,68034.56,,
221,06/11/2024 12:38:50,41.61,67870.72,,
222,06/11/2024 12:43:50,41.91,69283.84,,
223,06/11/2024 12:48:50,42.00,68382.72,,
224,06/11/2024 12:53:50,41.95,68976.64,,
225,06/11/2024 12:58:50,42.17,69754.88,,
226,06/11/2024 13:03:50,41.74,71004.16,,
227,06/11/2024 13:08:50,41.01,70963.20,,
228,06/11/2024 13:13:50,41.61,71598.08,,
229,06/11/2024 13:18:50,41.35,69263.36,,
230,06/11/2024 13:23:50,41.01,69488.64,,
231,06/11/2024 13:28:50,40.97,70307.84,,
232,06/11/2024 13:33:50,40.02,68833.28,,
233,06/11/2024 13:38:50,40.50,67420.16,,
234,06/11/2024 13:43:50,36.89,29911.04,,
235,06/11/2024 13:48:50,31.74,48844.80,,
236,06/11/2024 13:53:50,30.67,23654.40,,
237,06/11/2024 13:58:50,26.68,8110.08,,
238,06/11/2024 14:03:50,24.66,9978.88,,
239,06/11/2024 14:08:50,23.46,12405.76,,
240,06/11/2024 14:13:50,22.48,12518.40,,
241,06/11/2024 14:18:50,21.79,10234.88,,
242,06/11/2024 14:23:50,21.45,8977.92,,
243,06/11/2024 14:28:50,21.10,7091.20,,
244,06/11/2024 14:33:50,20.68,7505.92,,
245,06/11/2024 14:38:50,20.76,12467.20,,
246,06/11/2024 14:43:50,22.91,14545.92,,
247,06/11/2024 14:48:50,25.31,19824.64,,
248,06/11/2024 14:53:50,26.60,53637.12,,
249,06/11/2024 14:58:50,25.52,58408.96,,
250,06/11/2024 15:03:50,25.01,16732.16,,
251,06/11/2024 15:08:50,24.79,17203.20,,
252,06/11/2024 15:13:50,25.74,31518.72,,
253,06/11/2024 15:18:50,29.17,36689.92,,
254,06/11/2024 15:23:50,32.13,46735.36,,
255,06/11/2024 15:28:50,26.51,11550.72,,
256,06/11/2024 15:33:50,22.52,20874.24,,
257,06/11/2024 15:38:50,26.85,52633.60,,
258,06/11/2024 15:43:50,29.81,49295.36,,
259,06/11/2024 15:48:50,31.14,38942.72,,
260,06/11/2024 15:53:50,32.30,46940.16,,
261,06/11/2024 15:58:50,35.00,57856.00,,
262,06/11/2024 16:03:50,35.86,46551.04,,
263,06/11/2024 16:08:50,33.03,20060.16,,
264,06/11/2024 16:13:50,29.73,34856.96,,
265,06/11/2024 16:18:50,28.14,28354.56,,
266,06/11/2024 16:23:50,28.87,34263.04,,
267,06/11/2024 16:28:50,27.45,11484.16,,
268,06/11/2024 16:33:50,24.15,13870.08,,
269,06/11/2024 16:38:50,23.12,16476.16,,
270,06/11/2024 16:43:50,24.28,30023.68,,
271,06/11/2024 16:48:50,23.94,19409.92,,
272,06/11/2024 16:53:50,23.29,14617.60,,
273,06/11/2024 16:58:50,21.58,13747.20,,
274,06/11/2024 17:03:50,19.90,8084.48,,
275,06/11/2024 17:08:50,18.83,10014.72,,
276,06/11/2024 17:13:50,18.70,11202.56,,
277,06/11/2024 17:18:50,19.05,12241.92,,
278,06/11/2024 17:23:50,19.52,14709.76,,
279,06/11/2024 17:28:50,21.10,18882.56,,
280,06/11/2024 17:33:50,22.82,21596.16,,
281,06/11/2024 17:38:50,23.29,12523.52,,
282,06/11/2024 17:43:50,20.89,16640.00,,
283,06/11/2024 17:48:50,19.82,16081.92,,
284,06/11/2024 17:53:50,19.43,10496.00,,
285,06/11/2024 17:58:50,18.66,7242.24,,
286,06/11/2024 18:03:50,17.84,9694.72,,
287,06/11/2024 18:08:50,17.84,10324.48,,
288,06/11/2024 18:13:50,17.67,9236.48,,
289,06/11/2024 18:18:50,17.80,10247.68,,
290,06/11/2024 18:23:50,18.23,10242.56,,
291,06/11/2024 18:28:50,18.23,13870.08,,
292,06/11/2024 18:33:50,19.73,9625.60,,
293,06/11/2024 18:38:50,18.87,14161.92,,
294,06/11/2024 18:43:50,18.19,12175.36,,
295,06/11/2024 18:48:50,17.97,9940.48,,
296,06/11/2024 18:53:50,17.54,8965.12,,
297,06/11/2024 18:58:50,17.20,7846.40,,
298,06/11/2024 19:03:50,17.50,10009.60,,
299,06/11/2024 19:08:50,17.41,7720.96,,
300,06/11/2024 19:13:50,16.69,5288.96,,
301,06/11/2024 19:18:50,16.17,4599.04,,
302,06/11/2024 19:23:50,16.08,5726.72,,
303,06/11/2024 19:28:50,16.17,5578.24,,
304,06/11/2024 19:33:50,15.96,5171.20,,
305,06/11/2024 19:38:50,15.83,4888.32,,
306,06/11/2024 19:43:50,15.70,5052.16,,
307,06/11/2024 19:48:50,15.48,4791.04,,
308,06/11/2024 19:53:50,15.27,4035.84,,
309,06/11/2024 19:58:50,14.97,3517.44,,
310,06/11/2024 20:03:50,14.67,3426.56,,
311,06/11/2024 20:08:50,14.41,2855.68,,
312,06/11/2024 20:13:50,13.94,2370.56,,
313,06/11/2024 20:18:50,13.68,2136.32,,
314,06/11/2024 20:23:50,13.51,2035.20,,
315,06/11/2024 20:28:50,13.25,1760.64,,
316,06/11/2024 20:33:50,13.04,1631.36,,
317,06/11/2024 20:38:50,12.91,1601.28,,
318,06/11/2024 20:43:50,12.87,1386.88,,
319,06/11/2024 20:48:50,12.65,1163.84,,
320,06/11/2024 20:53:50,12.40,943.68,,
321,06/11/2024 20:58:50,12.27,764.48,,
322,06/11/2024 21:03:50,12.01,591.36,,
323,06/11/2024 21:08:50,11.79,439.68,,
324,06/11/2024 21:13:50,11.49,314.72,,
325,06/11/2024 21:18:50,11.28,217.52,,
326,06/11/2024 21:23:50,10.98,143.92,,
327,06/11/2024 21:28:50,10.77,93.24,,
328,06/11/2024 21:33:50,10.55,55.26,,
329,06/11/2024 21:38:50,10.34,30.35,,
330,06/11/2024 21:43:50,10.16,16.16,,
331,06/11/2024 21:48:50,9.99,8.44,,
332,06/11/2024 21:53:50,9.99,3.93,,
333,06/11/2024 21:58:50,9.82,1.76,,
334,06/11/2024 22:03:50,9.78,0.58,,
335,06/11/2024 22:08:50,9.69,0.19,,
336,06/11/2024 22:13:50,9.61,0.00,,
337,06/11/2024 22:18:50,9.56,0.00,,
338,06/11/2024 22:23:50,9.44,0.00,,
339,06/11/2024 22:28:50,9.39,0.00,,
340,06/11/2024 22:33:50,9.39,0.00,,
341,06/11/2024 22:38:50,9.39,0.00,,
342,06/11/2024 22:43:50,9.48,0.00,,
343,06/11/2024 22:48:50,9.52,0.00,,
344,06/11/2024 22:53:50,9.48,0.00,,
345,06/11/2024 22:58:50,9.52,0.00,,
346,06/11/2024 23:03:50,9.56,0.00,,
347,06/11/2024 23:08:50,9.69,0.00,,
348,06/11/2024 23:13:50,9.78,0.00,,
349,06/11/2024 23:18:50,9.56,0.00,,
350,06/11/2024 23:23:50,9.52,0.00,,
351,06/11/2024 23:28:50,9.48,0.00,,
352,06/11/2024 23:33:50,9.52,0.00,,
353,06/11/2024 23:38:50,9.52,0.00,,
354,06/11/2024 23:43:50,9.56,0.00,,
355,06/11/2024 23:48:50,9.65,0.00,,
356,06/11/2024 23:53:50,9.52,0.00,,
357,06/11/2024 23:58:50,9.69,0.00,,
358,06/12/2024 00:03:50,10.08,0.00,,
359,06/12/2024 00:08:50,10.04,0.00,,
360,06/12/2024 00:13:50,9.91,0.00,,
361,06/12/2024 00:18:50,9.78,0.00,,
362,06/12/2024 00:23:50,9.74,0.00,,
363,06/12/2024 00:28:50,9.86,0.00,,
364,06/12/2024 00:33:50,10.21,0.00,,
365,06/12/2024 00:38:50,10.59,0.00,,
366,06/12/2024 00:43:50,10.89,0.00,,
367,06/12/2024 00:48:50,11.07,0.00,,
368,06/12/2024 00:53:50,11.19,0.00,,
369,06/12/2024 00:58:50,11.24,0.00,,
370,06/12/2024 01:03:50,11.28,0.00,,
371,06/12/2024 01:08:50,11.28,0.00,,
372,06/12/2024 01:13:50,11.32,0.00,,
373,06/12/2024 01:18:50,11.32,0.00,,
374,06/12/2024 01:23:50,11.28,0.00,,
375,06/12/2024 01:28:50,11.28,0.00,,
376,06/12/2024 01:33:50,11.41,0.00,,
377,06/12/2024 01:38:50,11.32,0.00,,
378,06/12/2024 01:43:50,11.32,0.00,,
379,06/12/2024 01:48:50,11.32,0.00,,
380,06/12/2024 01:53:50,11.37,0.00,,
381,06/12/2024 01:58:50,11.37,0.00,,
382,06/12/2024 02:03:50,11.37,0.00,,
383,06/12/2024 02:08:50,11.32,0.00,,
384,06/12/2024 02:13:50,11.37,0.00,,
385,06/12/2024 02:18:50,11.37,0.00,,
386,06/12/2024 02:23:50,11.28,0.00,,
387,06/12/2024 02:28:50,11.19,0.00,,
388,06/12/2024 02:33:50,11.11,0.00,,
389,06/12/2024 02:38:50,11.02,0.00,,
390,06/12/2024 02:43:50,11.02,0.00,,
391,06/12/2024 02:48:50,11.02,0.00,,
392,06/12/2024 02:53:50,10.98,0.00,,
393,06/12/2024 02:58:50,10.89,0.00,,
394,06/12/2024 03:03:50,10.89,0.00,,
395,06/12/2024 03:08:50,10.81,0.00,,
396,06/12/2024 03:13:50,10.68,0.00,,
397,06/12/2024 03:18:50,10.59,0.00,,
398,06/12/2024 03:23:50,10.46,0.00,,
399,06/12/2024 03:28:50,10.34,0.00,,
400,06/12/2024 03:33:50,10.12,0.00,,
401,06/12/2024 03:38:50,10.16,0.00,,
402,06/12/2024 03:43:50,10.16,0.00,,
403,06/12/2024 03:48:50,10.21,0.00,,
404,06/12/2024 03:53:50,10.08,0.00,,
405,06/12/2024 03:58:50,10.12,0.00,,
406,06/12/2024 04:03:50,10.12,0.00,,
407,06/12/2024 04:08:50,10.12,0.00,,
408,06/12/2024 04:13:50,10.21,0.00,,
409,06/12/2024 04:18:50,10.21,0.00,,
410,06/12/2024 04:23:50,10.16,0.39,,
411,06/12/2024 04:28:50,10.16,1.37,,
412,06/12/2024 04:33:50,10.12,2.94,,
413,06/12/2024 04:38:50,10.08,5.30,,
414,06/12/2024 04:43:50,10.16,8.27,,
415,06/12/2024 04:48:50,10.16,16.57,,
416,06/12/2024 04:53:50,10.16,28.39,,
417,06/12/2024 04:58:50,10.12,47.74,,
418,06/12/2024 05:03:50,10.16,70.28,,
419,06/12/2024 05:08:50,10.16,97.92,,
420,06/12/2024 05:13:50,10.16,160.44,,
421,06/12/2024 05:18:50,10.12,234.96,,
422,06/12/2024 05:23:50,10.16,302.16,,
423,06/12/2024 05:28:50,10.25,422.40,,
424,06/12/2024 05:33:50,10.34,725.44,,
425,06/12/2024 05:38:50,10.59,1413.76,,
426,06/12/2024 05:43:50,10.77,1507.20,,
427,06/12/2024 05:48:50,10.94,1500.80,,
428,06/12/2024 05:53:50,10.81,1302.40,,
429,06/12/2024 05:58:50,10.64,1443.84,,
430,06/12/2024 06:03:50,10.59,1603.20,,
431,06/12/2024 06:08:50,10.64,1865.60,,
432,06/12/2024 06:13:50,10.77,2161.28,,
433,06/12/2024 06:18:50,10.94,2277.76,,
434,06/12/2024 06:23:50,10.94,2129.92,,
435,06/12/2024 06:28:50,10.94,2503.68,,
436,06/12/2024 06:33:50,11.15,2918.40,,
437,06/12/2024 06:38:50,11.02,3152.64,,
438,06/12/2024 06:43:50,10.81,3266.56,,
439,06/12/2024 06:48:50,10.59,3234.56,,
440,06/12/2024 06:53:50,10.46,3225.60,,
441,06/12/2024 06:58:50,10.38,3580.16,,
442,06/12/2024 07:03:50,12.57,11791.36,,
443,06/12/2024 07:08:50,14.71,12144.64,,
444,06/12/2024 07:13:50,14.50,5491.20,,
445,06/12/2024 07:18:50,16.17,15866.88,,
446,06/12/2024 07:23:50,15.74,6412.80,,
447,06/12/2024 07:28:50,15.44,11591.68,,
448,06/12/2024 07:33:50,18.10,19624.96,,
449,06/12/2024 07:38:50,21.28,26501.12,,
450,06/12/2024 07:43:50,24.11,28723.20,,
451,06/12/2024 07:48:50,24.19,13306.88,,
452,06/12/2024 07:53:50,23.21,13332.48,,
453,06/12/2024 07:58:50,21.49,10659.84,,
454,06/12/2024 08:03:50,20.12,10741.76,,
455,06/12/2024 08:08:50,18.79,7959.04,,
456,06/12/2024 08:13:50,17.89,8926.72,,
457,06/12/2024 08:18:50,18.19,11176.96,,
458,06/12/2024 08:23:50,18.92,21637.12,,
459,06/12/2024 08:28:50,20.03,10406.40,,
460,06/12/2024 08:33:50,19.99,9763.84,,
461,06/12/2024 08:38:50,18.53,5693.44,,
462,06/12/2024 08:43:50,17.07,4851.20,,
463,06/12/2024 08:48:50,16.08,5000.96,,
464,06/12/2024 08:53:50,15.27,6796.80,,
465,06/12/2024 08:58:50,15.14,9185.28,,
466,06/12/2024 09:03:50,15.48,9111.04,,
467,06/12/2024 09:08:50,15.36,9072.64,,
468,06/12/2024 09:13:50,15.44,10618.88,,
469,06/12/2024 09:18:50,17.29,24279.04,,
470,06/12/2024 09:23:50,21.15,43499.52,,
471,06/12/2024 09:28:50,29.98,60395.52,,
472,06/12/2024 09:33:50,36.55,64573.44,,
473,06/12/2024 09:38:50,36.89,46489.60,,
474,06/12/2024 09:43:50,42.38,65454.08,,
475,06/12/2024 09:48:50,39.72,45486.08,,
476,06/12/2024 09:53:50,37.75,63979.52,,
477,06/12/2024 09:58:50,39.47,35072.00,,
478,06/12/2024 10:03:50,32.86,14648.32,,
479,06/12/2024 10:08:50,33.03,62115.84,,
480,06/12/2024 10:13:50,37.23,58142.72,,
481,06/12/2024 10:18:50,38.78,56258.56,,
482,06/12/2024 10:23:50,40.32,59842.56,,
483,06/12/2024 10:28:50,40.84,60559.36,,
484,06/12/2024 10:33:50,41.74,59535.36,,
485,06/12/2024 10:38:50,41.05,63098.88,,
486,06/12/2024 10:43:50,41.95,62812.16,,
487,06/12/2024 10:48:50,42.08,63262.72,,
488,06/12/2024 10:53:50,42.43,61911.04,,
489,06/12/2024 10:58:50,41.87,65187.84,,
490,06/12/2024 11:03:50,42.08,66396.16,,
491,06/12/2024 11:08:50,40.92,65413.12,,
492,06/12/2024 11:13:50,41.22,68136.96,,
493,06/12/2024 11:18:50,42.38,65392.64,,
494,06/12/2024 11:23:50,42.47,67624.96,,
495,06/12/2024 11:28:50,42.68,67317.76,,
496,06/12/2024 11:33:50,42.60,68423.68,,
497,06/12/2024 11:38:50,41.95,69857.28,,
498,06/12/2024 11:43:50,41.65,60272.64,,
499,06/12/2024 11:48:50,41.95,55685.12,,
500,06/12/2024 11:53:50,38.86,44052.48,,
501,06/12/2024 11:58:50,36.51,35205.12,,
502,06/12/2024 12:03:50,32.60,24186.88,,
503,06/12/2024 12:08:50,30.24,31662.08,,
504,06/12/2024 12:13:50,31.36,40611.84,,
505,06/12/2024 12:18:50,34.83,64061.44,,
506,06/12/2024 12:23:50,37.02,65290.24,,
507,06/12/2024 12:28:50,39.72,69980.16,,
508,06/12/2024 12:33:50,40.88,62341.12,,
509,06/12/2024 12:38:50,38.26,45219.84,,
510,06/12/2024 12:43:50,38.86,71925.76,,
511,06/12/2024 12:48:50,40.24,67891.20,,
512,06/12/2024 12:53:50,41.83,69181.44,,
513,06/12/2024 12:58:50,42.98,71966.72,,
514,06/12/2024 13:03:50,42.68,72622.08,,
515,06/12/2024 13:08:50,43.24,71454.72,,
516,06/12/2024 13:13:50,44.44,72335.36,,
517,06/12/2024 13:18:50,44.27,71639.04,,
518,06/12/2024 13:23:50,44.18,71352.32,,
519,06/12/2024 13:28:50,43.07,69693.44,,
520,06/12/2024 13:33:50,40.50,70676.48,,
521,06/12/2024 13:38:50,36.81,61091.84,,
522,06/12/2024 13:43:50,32.73,8783.36,,
523,06/12/2024 13:48:50,30.16,60866.56,,
524,06/12/2024 13:53:50,26.77,14105.60,,
525,06/12/2024 13:58:50,23.85,9090.56,,
526,06/12/2024 14:03:50,22.18,7242.24,,
527,06/12/2024 14:08:50,21.02,6914.56,,
528,06/12/2024 14:13:50,20.29,6632.96,,
529,06/12/2024 14:18:50,19.69,6254.08,,
530,06/12/2024 14:23:50,19.47,6343.68,,
531,06/12/2024 14:28:50,19.13,6279.68,,
532,06/12/2024 14:33:50,19.17,7777.28,,
533,06/12/2024 14:38:50,21.40,6632.96,,
534,06/12/2024 14:43:50,24.06,34150.40,,
535,06/12/2024 14:48:50,25.69,59289.60,,
536,06/12/2024 14:53:50,30.16,47902.72,,
537,06/12/2024 14:58:50,30.84,36608.00,,
538,06/12/2024 15:03:50,34.06,59248.64,,
539,06/12/2024 15:08:50,29.73,18611.20,,
540,06/12/2024 15:13:50,29.47,49807.36,,
541,06/12/2024 15:18:50,33.25,59269.12,,
542,06/12/2024 15:23:50,36.25,58613.76,,
