#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Started,Host Connected,Low Power Warning,Button Down,Safe Shut down Low Battery,Stopped,End of File
49,03-07-2024 22:40:02,4.78,67.80,-0.66,,,,,,,
50,03-07-2024 22:50:02,4.90,68.90,-0.32,,,,,,,
51,03-07-2024 23:00:02,4.91,61.09,-1.95,,,,,,,
52,03-07-2024 23:10:02,5.03,64.80,-1.04,,,,,,,
53,03-07-2024 23:20:02,5.07,73.04,0.65,,,,,,,
54,03-07-2024 23:30:02,5.08,62.38,-1.51,,,,,,,
55,03-07-2024 23:40:02,5.12,65.47,-0.81,,,,,,,
56,03-07-2024 23:50:02,5.12,73.83,0.85,,,,,,,
57,03-08-2024 00:00:02,5.22,63.84,-1.06,,,,,,,
58,03-08-2024 00:10:02,5.19,67.40,-0.35,,,,,,,
59,03-08-2024 00:20:02,5.27,67.38,-0.27,,,,,,,
60,03-08-2024 00:30:02,5.34,60.68,-1.64,,,,,,,
61,03-08-2024 00:40:02,5.43,64.36,-0.75,,,,,,,
62,03-08-2024 00:50:02,5.45,73.77,1.15,,,,,,,
63,03-08-2024 01:00:02,5.51,62.24,-1.13,,,,,,,
64,03-08-2024 01:10:02,5.54,65.43,-0.42,,,,,,,
65,03-08-2024 01:20:02,5.56,72.92,1.10,,,,,,,
66,03-08-2024 01:30:02,5.63,63.25,-0.80,,,,,,,
67,03-08-2024 01:40:02,5.69,67.65,0.18,,,,,,,
68,03-08-2024 01:50:02,5.71,66.99,0.07,,,,,,,
69,03-08-2024 02:00:02,5.76,60.48,-1.29,,,,,,,
70,03-08-2024 02:10:02,5.85,64.24,-0.37,,,,,,,
71,03-08-2024 02:20:02,5.86,73.92,1.58,,,,,,,
72,03-08-2024 02:30:02,5.89,62.39,-0.74,,,,,,,
73,03-08-2024 02:40:02,5.94,65.66,0.01,,,,,,,
74,03-08-2024 02:50:02,6.00,70.24,1.00,,,,,,,
75,03-08-2024 03:00:02,6.08,61.32,-0.80,,,,,,,
76,03-08-2024 03:10:02,6.09,67.78,0.59,,,,,,,
77,03-08-2024 03:20:02,6.14,65.29,0.13,,,,,,,
78,03-08-2024 03:30:02,6.21,60.26,-0.91,,,,,,,
79,03-08-2024 03:40:02,6.30,63.35,-0.14,,,,,,,
80,03-08-2024 03:50:02,6.31,72.76,1.79,,,,,,,
81,03-08-2024 04:00:02,6.35,62.03,-0.39,,,,,,,
82,03-08-2024 04:10:02,6.37,65.39,0.36,,,,,,,
83,03-08-2024 04:20:02,6.41,70.87,1.52,,,,,,,
84,03-08-2024 04:30:02,6.43,61.39,-0.45,,,,,,,
85,03-08-2024 04:40:02,6.48,67.91,0.99,,,,,,,
86,03-08-2024 04:50:02,6.54,64.53,0.34,,,,,,,
87,03-08-2024 05:00:02,6.57,61.06,-0.39,,,,,,,
88,03-08-2024 05:10:02,6.71,63.63,0.31,,,,,,,
89,03-08-2024 05:20:02,6.68,72.49,2.09,,,,,,,
90,03-08-2024 05:30:02,6.72,62.17,0.00,,,,,,,
91,03-08-2024 05:40:02,6.79,65.39,0.76,,,,,,,
92,03-08-2024 05:50:02,6.83,70.42,1.83,,,,,,,
93,03-08-2024 06:00:02,6.85,61.69,0.01,,,,,,,
94,03-08-2024 06:10:02,6.94,68.03,1.45,,,,,,,
95,03-08-2024 06:20:02,7.01,64.28,0.74,,,,,,,
96,03-08-2024 06:30:02,7.03,60.87,0.01,,,,,,,
97,03-08-2024 06:40:02,7.12,64.12,0.80,,,,,,,
98,03-08-2024 06:50:02,7.10,72.84,2.56,,,,,,,
99,03-08-2024 07:00:02,7.12,62.52,0.45,,,,,,,
100,03-08-2024 07:10:02,7.34,64.68,1.14,,,,,,,
101,03-08-2024 07:20:02,7.69,67.04,1.96,,,,,,,
102,03-08-2024 07:30:02,8.06,56.66,-0.01,,,,,,,
103,03-08-2024 07:40:02,8.51,59.98,1.20,,,,,,,
104,03-08-2024 07:50:02,8.76,55.34,0.31,,,,,,,
105,03-08-2024 08:00:02,8.85,53.44,-0.09,,,,,,,
106,03-08-2024 08:10:02,8.86,56.78,0.76,,,,,,,
107,03-08-2024 08:20:02,8.83,61.00,1.74,,,,,,,
108,03-08-2024 08:30:02,8.90,55.63,0.52,,,,,,,
109,03-08-2024 08:40:02,8.89,57.30,0.91,,,,,,,
110,03-08-2024 08:50:02,8.89,60.15,1.59,,,,,,,
111,03-08-2024 09:00:02,8.89,55.37,0.44,,,,,,,
112,03-08-2024 09:10:02,8.83,57.67,0.95,,,,,,,
113,03-08-2024 09:20:02,8.85,56.27,0.62,,,,,,,
114,03-08-2024 09:30:02,8.81,56.61,0.68,,,,,,,
115,03-08-2024 09:40:02,8.85,56.77,0.75,,,,,,,
116,03-08-2024 09:50:02,8.79,61.04,1.70,,,,,,,
117,03-08-2024 10:00:02,8.78,57.95,0.97,,,,,,,
118,03-08-2024 10:10:02,8.72,58.00,0.92,,,,,,,
119,03-08-2024 10:20:02,8.64,60.73,1.49,,,,,,,
120,03-08-2024 10:30:02,8.64,59.23,1.14,,,,,,,
121,03-08-2024 10:40:02,8.64,58.68,1.01,,,,,,,
122,03-08-2024 10:50:02,8.64,56.56,0.51,,,,,,,
123,03-08-2024 11:00:02,8.62,62.26,1.82,,,,,,,
124,03-08-2024 11:10:02,8.65,57.80,0.81,,,,,,,
125,03-08-2024 11:20:02,8.56,62.13,1.73,,,,,,,
126,03-08-2024 11:30:02,8.56,62.63,1.84,,,,,,,
127,03-08-2024 11:40:02,8.51,58.71,0.90,,,,,,,
128,03-08-2024 11:50:02,8.46,62.62,1.75,,,,,,,
129,03-08-2024 12:00:02,8.45,62.45,1.70,,,,,,,
130,03-08-2024 12:10:02,8.43,59.95,1.11,,,,,,,
131,03-08-2024 12:20:02,8.44,56.64,0.33,,,,,,,
132,03-08-2024 12:30:02,8.36,66.35,2.47,,,,,,,
133,03-08-2024 12:40:02,8.42,58.19,0.69,,,,,,,
134,03-08-2024 12:50:02,8.34,62.63,1.64,,,,,,,
135,03-08-2024 13:00:02,8.35,66.67,2.52,,,,,,,
136,03-08-2024 13:10:02,8.30,59.23,0.82,,,,,,,
137,03-08-2024 13:20:02,8.23,62.42,1.49,,,,,,,
138,03-08-2024 13:30:02,8.20,65.54,2.14,,,,,,,
139,03-08-2024 13:40:02,8.22,61.06,1.17,,,,,,,
140,03-08-2024 13:50:02,8.19,58.24,0.49,,,,,,,
141,03-08-2024 14:00:02,8.16,69.82,2.99,,,,,,,
142,03-08-2024 14:10:02,8.24,59.00,0.72,,,,,,,
143,03-08-2024 14:20:02,8.14,63.58,1.65,,,,,,,
144,03-08-2024 14:30:02,8.12,69.94,2.97,,,,,,,
145,03-08-2024 14:40:02,8.07,59.99,0.79,,,,,,,
146,03-08-2024 14:50:02,8.00,64.66,1.76,,,,,,,
147,03-08-2024 15:00:02,8.03,67.39,2.37,,,,,,,
148,03-08-2024 15:10:02,7.99,62.29,1.23,,,,,,,
149,03-08-2024 15:20:02,8.00,59.62,0.63,,,,,,,
150,03-08-2024 15:30:02,7.96,72.68,3.36,,,,,,,
151,03-08-2024 15:40:02,7.98,59.96,0.69,,,,,,,
152,03-08-2024 15:50:02,7.88,65.07,1.73,,,,,,,
153,03-08-2024 16:00:02,7.85,72.91,3.30,,,,,,,
154,03-08-2024 16:10:02,7.87,61.41,0.92,,,,,,,
155,03-08-2024 16:20:02,7.81,65.41,1.73,,,,,,,
156,03-08-2024 16:30:02,7.73,70.17,2.65,,,,,,,
157,03-08-2024 16:40:02,7.78,63.36,1.27,,,,,,,
158,03-08-2024 16:50:02,7.78,60.69,0.67,,,,,,,
159,03-08-2024 17:00:02,7.75,75.28,3.66,,,,,,,
160,03-08-2024 17:10:02,7.79,59.81,0.48,,,,,,,
161,03-08-2024 17:20:02,7.69,66.01,1.75,,,,,,,
162,03-08-2024 17:30:02,7.63,74.57,3.41,,,,,,,
163,03-08-2024 17:40:02,7.59,62.48,0.89,,,,,,,
164,03-08-2024 17:50:02,7.58,66.78,1.81,,,,,,,
165,03-08-2024 18:00:02,7.56,72.37,2.92,,,,,,,
166,03-08-2024 18:10:02,7.60,64.32,1.31,,,,,,,
167,03-08-2024 18:20:02,7.54,62.41,0.83,,,,,,,
168,03-08-2024 18:30:02,7.50,77.14,3.77,,,,,,,
169,03-08-2024 18:40:02,7.61,60.11,0.38,,,,,,,
170,03-08-2024 18:50:02,7.50,67.49,1.88,,,,,,,
171,03-08-2024 19:00:02,7.43,77.19,3.70,,,,,,,
172,03-08-2024 19:10:02,7.29,61.92,0.48,,,,,,,
173,03-08-2024 19:20:02,6.64,64.41,0.41,,,,,,,
174,03-08-2024 19:30:02,5.78,69.76,0.69,,,,,,,
175,03-08-2024 19:40:02,4.84,61.47,-1.93,,,,,,,
176,03-08-2024 19:50:02,4.30,61.55,-2.43,,,,,,,
177,03-08-2024 20:00:02,4.19,78.99,0.88,,,,,,,
178,03-08-2024 20:10:02,4.21,61.38,-2.55,,,,,,,
179,03-08-2024 20:20:02,4.17,67.54,-1.30,,,,,,,
180,03-08-2024 20:30:02,4.24,79.74,1.06,,,,,,,
181,03-08-2024 20:40:02,4.29,63.36,-2.05,,,,,,,
182,03-08-2024 20:50:02,4.31,68.20,-1.03,,,,,,,
183,03-08-2024 21:00:02,4.29,77.32,0.67,,,,,,,
184,03-08-2024 21:10:02,4.39,66.37,-1.32,,,,,,,
185,03-08-2024 21:20:02,4.48,63.43,-1.85,,,,,,,
186,03-08-2024 21:30:02,4.52,77.19,0.88,,,,,,,
187,03-08-2024 21:40:02,4.59,60.61,-2.36,,,,,,,
188,03-08-2024 21:50:02,4.56,66.62,-1.11,,,,,,,
189,03-08-2024 22:00:02,4.61,78.72,1.24,,,,,,,
190,03-08-2024 22:10:02,4.72,63.13,-1.69,,,,,,,
191,03-08-2024 22:20:02,4.69,68.57,-0.59,,,,,,,
192,03-08-2024 22:30:02,4.73,76.44,0.94,,,,,,,
193,03-08-2024 22:40:02,4.84,65.92,-0.98,,,,,,,
194,03-08-2024 22:50:02,4.88,63.18,-1.53,,,,,,,
195,03-08-2024 23:00:02,4.96,78.36,1.52,,,,,,,
196,03-08-2024 23:10:02,5.00,60.28,-2.05,,,,,,,
197,03-08-2024 23:20:02,5.03,67.25,-0.53,,,,,,,
198,03-08-2024 23:30:02,5.03,79.03,1.70,,,,,,,
199,03-08-2024 23:40:02,5.09,63.41,-1.28,,,,,,,
200,03-08-2024 23:50:02,5.13,67.71,-0.34,,,,,,,
201,03-09-2024 00:00:02,5.13,77.08,1.45,,,,,,,
202,03-09-2024 00:10:02,5.26,66.55,-0.45,,,,,,,
203,03-09-2024 00:20:02,5.31,62.66,-1.23,,,,,,,
204,03-09-2024 00:30:02,5.34,78.52,1.91,,,,,,,
205,03-09-2024 00:40:02,5.46,59.19,-1.86,,,,,,,
206,03-09-2024 00:50:02,5.42,67.88,-0.03,,,,,,,
207,03-09-2024 01:00:02,5.50,79.71,2.28,,,,,,,
208,03-09-2024 01:10:02,5.51,63.55,-0.85,,,,,,,
209,03-09-2024 01:20:02,5.56,67.20,-0.03,,,,,,,
210,03-09-2024 01:30:02,5.50,76.90,1.78,,,,,,,
211,03-09-2024 01:40:02,5.66,66.47,-0.09,,,,,,,
212,03-09-2024 01:50:02,5.75,62.77,-0.79,,,,,,,
213,03-09-2024 02:00:02,5.78,78.47,2.33,,,,,,,
214,03-09-2024 02:10:02,5.90,60.70,-1.11,,,,,,,
215,03-09-2024 02:20:02,5.84,67.04,0.20,,,,,,,
216,03-09-2024 02:30:02,5.85,78.91,2.48,,,,,,,
217,03-09-2024 02:40:02,5.95,63.19,-0.51,,,,,,,
218,03-09-2024 02:50:02,5.99,66.77,0.29,,,,,,,
219,03-09-2024 03:00:02,5.92,78.21,2.42,,,,,,,
220,03-09-2024 03:10:02,6.10,66.61,0.36,,,,,,,
221,03-09-2024 03:20:02,6.12,62.35,-0.53,,,,,,,
222,03-09-2024 03:30:02,6.16,77.55,2.54,,,,,,,
223,03-09-2024 03:40:02,6.26,61.32,-0.62,,,,,,,
224,03-09-2024 03:50:02,6.28,67.22,0.66,,,,,,,
225,03-09-2024 04:00:02,6.33,79.18,2.99,,,,,,,
226,03-09-2024 04:10:02,6.38,63.37,-0.06,,,,,,,
227,03-09-2024 04:20:02,6.42,66.98,0.74,,,,,,,
228,03-09-2024 04:30:02,6.34,78.33,2.85,,,,,,,
229,03-09-2024 04:40:02,6.52,66.70,0.78,,,,,,,
230,03-09-2024 04:50:02,6.55,62.50,-0.09,,,,,,,
231,03-09-2024 05:00:02,6.59,77.37,2.92,,,,,,,
232,03-09-2024 05:10:02,6.71,61.70,-0.11,,,,,,,
233,03-09-2024 05:20:02,6.69,67.64,1.14,,,,,,,
234,03-09-2024 05:30:02,6.70,80.32,3.56,,,,,,,
235,03-09-2024 05:40:02,6.76,63.42,0.32,,,,,,,
236,03-09-2024 05:50:02,6.83,67.04,1.14,,,,,,,
237,03-09-2024 06:00:02,6.73,78.47,3.26,,,,,,,
238,03-09-2024 06:10:02,6.94,66.59,1.16,,,,,,,
239,03-09-2024 06:20:02,6.96,62.34,0.26,,,,,,,
240,03-09-2024 06:30:02,7.00,76.09,3.08,,,,,,,
241,03-09-2024 06:40:02,7.12,62.48,0.44,,,,,,,
242,03-09-2024 06:50:02,7.10,67.39,1.47,,,,,,,
243,03-09-2024 07:00:02,7.14,80.53,4.02,,,,,,,
244,03-09-2024 07:10:02,7.33,62.16,0.58,,,,,,,
245,03-09-2024 07:20:02,7.69,63.54,1.22,,,,,,,
246,03-09-2024 07:30:02,8.00,71.26,3.12,,,,,,,
247,03-09-2024 07:40:02,8.52,59.06,0.99,,,,,,,
248,03-09-2024 07:50:02,8.74,55.05,0.22,,,,,,,
249,03-09-2024 08:00:02,8.92,64.89,2.68,,,,,,,
250,03-09-2024 08:10:02,8.98,55.16,0.48,,,,,,,
251,03-09-2024 08:20:02,8.85,58.78,1.23,,,,,,,
252,03-09-2024 08:30:02,8.90,67.21,3.16,,,,,,,
253,03-09-2024 08:40:02,8.89,54.73,0.28,,,,,,,
254,03-09-2024 08:50:02,8.87,56.36,0.67,,,,,,,
255,03-09-2024 09:00:02,8.83,65.45,2.72,,,,,,,
256,03-09-2024 09:10:02,8.90,56.91,0.83,,,,,,,
257,03-09-2024 09:20:02,8.85,54.13,0.09,,,,,,,
258,03-09-2024 09:30:02,8.85,64.39,2.50,,,,,,,
259,03-09-2024 09:40:02,8.89,53.48,-0.04,,,,,,,
260,03-09-2024 09:50:02,8.79,58.51,1.11,,,,,,,
261,03-09-2024 10:00:02,8.83,67.45,3.15,,,,,,,
262,03-09-2024 10:10:02,8.72,54.89,0.16,,,,,,,
263,03-09-2024 10:20:02,8.68,56.76,0.59,,,,,,,
264,03-09-2024 10:30:02,8.62,65.76,2.59,,,,,,,
265,03-09-2024 10:40:02,8.65,58.12,0.89,,,,,,,
266,03-09-2024 10:50:02,8.65,55.71,0.30,,,,,,,
267,03-09-2024 11:00:02,8.65,64.87,2.42,,,,,,,
268,03-09-2024 11:10:02,8.66,55.42,0.24,,,,,,,
269,03-09-2024 11:20:02,8.59,59.30,1.11,,,,,,,
270,03-09-2024 11:30:02,8.59,67.19,2.86,,,,,,,
271,03-09-2024 11:40:02,8.53,55.90,0.24,,,,,,,
272,03-09-2024 11:50:02,8.47,58.56,0.82,,,,,,,
273,03-09-2024 12:00:02,8.39,67.46,2.73,,,,,,,
274,03-09-2024 12:10:02,8.46,58.98,0.91,,,,,,,
275,03-09-2024 12:20:02,8.45,56.88,0.40,,,,,,,
276,03-09-2024 12:30:02,8.44,65.41,2.34,,,,,,,
277,03-09-2024 12:40:02,8.49,53.90,-0.30,,,,,,,
278,03-09-2024 12:50:02,8.33,59.99,1.03,,,,,,,
279,03-09-2024 13:00:02,8.36,67.79,2.77,,,,,,,
280,03-09-2024 13:10:02,8.33,56.41,0.18,,,,,,,
281,03-09-2024 13:20:02,8.27,59.87,0.94,,,,,,,
282,03-09-2024 13:30:02,8.20,67.93,2.64,,,,,,,
283,03-09-2024 13:40:02,8.28,60.29,1.05,,,,,,,
284,03-09-2024 13:50:02,8.23,58.03,0.48,,,,,,,
285,03-09-2024 14:00:02,8.26,66.57,2.41,,,,,,,
286,03-09-2024 14:10:02,8.24,54.55,-0.37,,,,,,,
287,03-09-2024 14:20:02,8.14,61.47,1.18,,,,,,,
288,03-09-2024 14:30:02,8.17,68.31,2.69,,,,,,,
289,03-09-2024 14:40:02,8.13,57.53,0.26,,,,,,,
290,03-09-2024 14:50:02,8.04,61.08,1.00,,,,,,,
291,03-09-2024 15:00:02,7.97,69.05,2.65,,,,,,,
292,03-09-2024 15:10:02,8.03,61.22,1.03,,,,,,,
293,03-09-2024 15:20:02,8.02,58.90,0.48,,,,,,,
294,03-09-2024 15:30:02,7.96,67.78,2.38,,,,,,,
295,03-09-2024 15:40:02,8.03,56.56,-0.07,,,,,,,
296,03-09-2024 15:50:02,7.89,61.75,1.01,,,,,,,
297,03-09-2024 16:00:02,7.62,75.05,3.49,,,,,,,
298,03-09-2024 16:10:02,7.55,60.84,0.48,,,,,,,
299,03-09-2024 16:20:02,7.58,58.95,0.08,,,,,,,
300,03-09-2024 16:30:02,7.81,56.77,-0.23,,,,,,,
301,03-09-2024 16:40:02,7.74,60.30,0.54,,,,,,,
302,03-09-2024 16:50:02,7.73,55.09,-0.71,,,,,,,
303,03-09-2024 17:00:02,7.71,62.88,1.09,,,,,,,
304,03-09-2024 17:10:02,7.68,67.11,1.97,,,,,,,
305,03-09-2024 17:20:02,7.69,59.55,0.32,,,,,,,
306,03-09-2024 17:30:02,7.68,65.73,1.68,,,,,,,
307,03-09-2024 17:40:02,7.68,62.25,0.92,,,,,,,
308,03-09-2024 17:50:02,7.63,58.98,0.13,,,,,,,
309,03-09-2024 18:00:02,7.69,61.20,0.70,,,,,,,
310,03-09-2024 18:10:02,7.57,69.98,2.45,,,,,,,
311,03-09-2024 18:20:02,7.52,61.08,0.51,,,,,,,
312,03-09-2024 18:30:02,7.52,64.58,1.28,,,,,,,
313,03-09-2024 18:40:02,7.47,68.68,2.10,,,,,,,
314,03-09-2024 18:50:02,7.43,60.67,0.33,,,,,,,
315,03-09-2024 19:00:02,7.40,66.65,1.61,,,,,,,
316,03-09-2024 19:10:02,7.33,61.33,0.39,,,,,,,
317,03-09-2024 19:20:02,6.72,57.92,-0.97,,,,,,,
318,03-09-2024 19:30:02,5.94,59.96,-1.24,,,,,,,
319,03-09-2024 19:40:02,4.83,65.48,-1.08,,,,,,,
320,03-09-2024 19:50:02,4.35,61.84,-2.32,,,,,,,
321,03-09-2024 20:00:02,4.15,65.99,-1.63,,,,,,,
322,03-09-2024 20:10:02,4.10,67.73,-1.32,,,,,,,
323,03-09-2024 20:20:02,4.17,62.25,-2.40,,,,,,,
324,03-09-2024 20:30:02,4.23,66.63,-1.42,,,,,,,
325,03-09-2024 20:40:02,4.28,65.41,-1.63,,,,,,,
326,03-09-2024 20:50:02,4.33,65.61,-1.54,,,,,,,
327,03-09-2024 21:00:02,4.37,63.40,-1.96,,,,,,,
328,03-09-2024 21:10:02,4.42,67.98,-0.97,,,,,,,
329,03-09-2024 21:20:02,4.46,67.05,-1.12,,,,,,,
330,03-09-2024 21:30:02,4.52,65.30,-1.42,,,,,,,
331,03-09-2024 21:40:02,4.56,67.10,-1.02,,,,,,,
332,03-09-2024 21:50:02,4.56,66.02,-1.24,,,,,,,
333,03-09-2024 22:00:02,4.64,67.02,-0.95,,,,,,,
334,03-09-2024 22:10:02,4.68,64.17,-1.50,,,,,,,
335,03-09-2024 22:20:02,4.72,70.68,-0.15,,,,,,,
336,03-09-2024 22:30:02,4.81,64.97,-1.21,,,,,,,
337,03-09-2024 22:40:02,4.81,67.72,-0.64,,,,,,,
338,03-09-2024 22:50:02,4.84,71.18,0.07,,,,,,,
339,03-09-2024 23:00:02,4.91,64.91,-1.13,,,,,,,
340,03-09-2024 23:10:02,5.00,68.00,-0.41,,,,,,,
341,03-09-2024 23:20:02,5.00,69.51,-0.11,,,,,,,
342,03-09-2024 23:30:02,5.08,67.28,-0.48,,,,,,,
343,03-09-2024 23:40:02,5.13,62.26,-1.48,,,,,,,
344,03-09-2024 23:50:02,5.13,74.85,1.05,,,,,,,
345,03-10-2024 00:00:02,5.21,65.13,-0.80,,,,,,,
346,03-10-2024 00:10:02,5.25,68.03,-0.16,,,,,,,
347,03-10-2024 00:20:02,5.35,75.28,1.33,,,,,,,
348,03-10-2024 00:30:02,5.41,64.27,-0.79,,,,,,,
349,03-10-2024 00:40:02,5.40,67.78,-0.07,,,,,,,
350,03-10-2024 00:50:02,5.38,72.01,0.75,,,,,,,
351,03-10-2024 01:00:02,5.45,67.11,-0.16,,,,,,,
352,03-10-2024 01:10:02,5.55,62.18,-1.10,,,,,,,
353,03-10-2024 01:20:02,5.54,77.22,1.88,,,,,,,
354,03-10-2024 01:30:02,5.65,64.44,-0.53,,,,,,,
355,03-10-2024 01:40:02,5.68,68.32,0.31,,,,,,,
356,03-10-2024 01:50:02,5.70,77.55,2.09,,,,,,,
357,03-10-2024 03:00:02,5.81,64.55,-0.35,,,,,,,
358,03-10-2024 03:10:02,5.78,67.99,0.33,,,,,,,
359,03-10-2024 03:20:02,5.82,73.12,1.39,,,,,,,
360,03-10-2024 03:30:02,5.91,67.28,0.31,,,,,,,
361,03-10-2024 03:40:02,5.97,63.80,-0.36,,,,,,,
362,03-10-2024 03:50:02,5.93,78.60,2.50,,,,,,,
363,03-10-2024 04:00:02,6.06,62.51,-0.55,,,,,,,
364,03-10-2024 04:10:02,6.07,68.09,0.63,,,,,,,
365,03-10-2024 04:20:02,6.10,78.63,2.67,,,,,,,
366,03-10-2024 04:30:02,6.19,64.18,-0.07,,,,,,,
367,03-10-2024 04:40:02,6.21,68.08,0.77,,,,,,,
368,03-10-2024 04:50:02,6.20,74.75,2.06,,,,,,,
369,03-10-2024 05:00:02,6.31,67.21,0.69,,,,,,,
370,03-10-2024 05:10:02,6.36,63.25,-0.11,,,,,,,
371,03-10-2024 05:20:02,6.39,79.87,3.18,,,,,,,
372,03-10-2024 05:30:02,6.52,61.75,-0.29,,,,,,,
373,03-10-2024 05:40:02,6.50,68.67,1.16,,,,,,,
374,03-10-2024 05:50:02,6.57,78.26,3.06,,,,,,,
375,03-10-2024 06:00:02,6.61,64.36,0.38,,,,,,,
376,03-10-2024 06:10:02,6.60,68.48,1.22,,,,,,,
377,03-10-2024 06:20:02,6.58,76.35,2.73,,,,,,,
378,03-10-2024 06:30:02,6.74,67.45,1.15,,,,,,,
379,03-10-2024 06:40:02,6.78,63.51,0.35,,,,,,,
380,03-10-2024 06:50:02,6.82,80.44,3.69,,,,,,,
381,03-10-2024 07:00:02,6.93,60.96,-0.08,,,,,,,
382,03-10-2024 07:10:02,6.89,68.84,1.58,,,,,,,
383,03-10-2024 07:20:02,6.94,79.10,3.57,,,,,,,
384,03-10-2024 07:30:02,6.98,64.38,0.73,,,,,,,
385,03-10-2024 07:40:02,7.03,68.57,1.65,,,,,,,
386,03-10-2024 07:50:02,7.02,77.15,3.30,,,,,,,
387,03-10-2024 08:00:02,7.16,67.13,1.48,,,,,,,
388,03-10-2024 08:10:02,7.33,62.58,0.67,,,,,,,
389,03-10-2024 08:20:02,7.68,77.60,4.02,,,,,,,
390,03-10-2024 08:30:02,8.19,57.07,0.21,,,,,,,
391,03-10-2024 08:40:02,8.49,61.44,1.51,,,,,,,
392,03-10-2024 08:50:02,8.68,69.98,3.52,,,,,,,
393,03-10-2024 09:00:02,8.83,55.81,0.50,,,,,,,
394,03-10-2024 09:10:02,8.82,59.11,1.29,,,,,,,
395,03-10-2024 09:20:02,8.81,67.76,3.19,,,,,,,
396,03-10-2024 09:30:02,8.89,57.30,0.92,,,,,,,
397,03-10-2024 09:40:02,8.89,55.08,0.37,,,,,,,
398,03-10-2024 09:50:02,8.88,69.28,3.57,,,,,,,
399,03-10-2024 10:00:02,8.96,53.48,0.03,,,,,,,
400,03-10-2024 10:10:02,8.83,59.62,1.42,,,,,,,
401,03-10-2024 10:20:02,8.85,69.92,3.67,,,,,,,
402,03-10-2024 10:30:02,8.83,56.06,0.56,,,,,,,
403,03-10-2024 10:40:02,8.80,58.02,1.01,,,,,,,
