#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,Started Offset,End of File
98,03-07-2025 03:31:50,4.13,86.90,2.15,,,,
99,03-07-2025 03:41:50,4.05,86.68,2.04,,,,
100,03-07-2025 03:51:50,4.11,86.60,2.08,,,,
101,03-07-2025 04:01:50,4.20,86.94,2.22,,,,
102,03-07-2025 04:11:50,4.16,87.28,2.24,,,,
103,03-07-2025 04:21:50,4.18,88.15,2.39,,,,
104,03-07-2025 04:31:50,4.23,88.57,2.51,,,,
105,03-07-2025 04:41:50,4.19,87.94,2.38,,,,
106,03-07-2025 04:51:50,4.12,88.78,2.43,,,,
107,03-07-2025 05:01:50,4.08,89.14,2.46,,,,
108,03-07-2025 05:11:50,4.13,89.44,2.55,,,,
109,03-07-2025 05:21:50,4.19,89.09,2.55,,,,
110,03-07-2025 05:31:50,4.23,89.07,2.59,,,,
111,03-07-2025 05:41:50,4.26,89.15,2.64,,,,
112,03-07-2025 05:51:50,4.30,88.78,2.61,,,,
113,03-07-2025 06:01:50,4.33,88.66,2.62,,,,
114,03-07-2025 06:11:50,4.41,88.71,2.71,,,,
115,03-07-2025 06:21:50,4.49,88.22,2.72,,,,
116,03-07-2025 06:31:50,4.54,88.59,2.82,,,,
117,03-07-2025 06:41:50,4.60,88.53,2.87,,,,
118,03-07-2025 06:51:50,4.71,88.42,2.96,,,,
119,03-07-2025 07:01:50,4.79,88.76,3.10,,,,
120,03-07-2025 07:11:50,4.90,89.05,3.26,,,,
121,03-07-2025 07:21:50,5.01,88.61,3.29,,,,
122,03-07-2025 07:31:50,5.07,88.60,3.35,,,,
123,03-07-2025 07:41:50,5.15,88.31,3.38,,,,
124,03-07-2025 07:51:50,5.28,88.41,3.52,,,,
125,03-07-2025 08:01:50,5.43,87.98,3.61,,,,
126,03-07-2025 08:11:50,5.67,87.45,3.76,,,,
127,03-07-2025 08:21:50,5.85,86.45,3.77,,,,
128,03-07-2025 08:31:50,5.96,85.41,3.71,,,,
129,03-07-2025 08:41:50,6.00,85.69,3.79,,,,
130,03-07-2025 08:51:50,6.13,85.40,3.87,,,,
131,03-07-2025 09:01:50,6.32,85.07,4.00,,,,
132,03-07-2025 09:11:50,6.37,84.65,3.98,,,,
133,03-07-2025 09:21:50,6.59,85.40,4.32,,,,
134,03-07-2025 09:31:50,7.01,83.60,4.43,,,,
135,03-07-2025 09:41:50,7.06,83.44,4.46,,,,
136,03-07-2025 09:51:50,7.30,82.61,4.54,,,,
137,03-07-2025 10:01:50,7.41,81.58,4.48,,,,
138,03-07-2025 10:11:50,7.42,81.86,4.53,,,,
139,03-07-2025 10:21:50,7.66,80.45,4.52,,,,
140,03-07-2025 10:31:50,7.77,81.02,4.73,,,,
141,03-07-2025 10:41:50,7.80,79.64,4.51,,,,
142,03-07-2025 10:51:50,7.73,79.01,4.33,,,,
143,03-07-2025 11:01:50,7.78,79.83,4.53,,,,
144,03-07-2025 11:11:50,7.92,78.82,4.48,,,,
145,03-07-2025 11:21:50,8.02,78.22,4.47,,,,
146,03-07-2025 11:31:50,7.95,79.37,4.61,,,,
147,03-07-2025 11:41:50,8.12,79.02,4.71,,,,
148,03-07-2025 11:51:50,8.12,77.56,4.45,,,,
149,03-07-2025 12:01:50,8.36,76.63,4.50,,,,
150,03-07-2025 12:11:50,8.42,77.93,4.81,,,,
151,03-07-2025 12:21:50,8.59,77.20,4.84,,,,
152,03-07-2025 12:31:50,8.76,78.80,5.30,,,,
153,03-07-2025 12:41:50,8.83,76.87,5.00,,,,
154,03-07-2025 12:51:50,9.08,76.82,5.24,,,,
155,03-07-2025 13:01:50,9.01,76.13,5.05,,,,
156,03-07-2025 13:11:50,8.95,75.85,4.93,,,,
157,03-07-2025 13:21:50,9.08,76.24,5.13,,,,
158,03-07-2025 13:31:50,9.21,77.28,5.45,,,,
159,03-07-2025 13:41:50,9.55,76.41,5.61,,,,
160,03-07-2025 13:51:50,9.99,73.31,5.45,,,,
161,03-07-2025 14:01:50,9.80,72.94,5.19,,,,
162,03-07-2025 14:11:50,9.85,71.89,5.03,,,,
163,03-07-2025 14:21:50,9.90,74.01,5.49,,,,
164,03-07-2025 14:31:50,9.68,72.74,5.03,,,,
165,03-07-2025 14:41:50,9.51,71.65,4.66,,,,
166,03-07-2025 14:51:50,9.37,74.16,5.02,,,,
167,03-07-2025 15:01:50,9.28,73.36,4.77,,,,
168,03-07-2025 15:11:50,9.18,74.66,4.92,,,,
169,03-07-2025 15:21:50,8.95,75.74,4.91,,,,
170,03-07-2025 15:31:50,8.74,75.47,4.65,,,,
171,03-07-2025 15:41:50,8.57,76.73,4.73,,,,
172,03-07-2025 15:51:50,8.53,76.77,4.69,,,,
173,03-07-2025 16:01:50,8.45,76.78,4.62,,,,
174,03-07-2025 16:11:50,8.44,77.48,4.74,,,,
175,03-07-2025 16:21:50,8.44,76.66,4.58,,,,
176,03-07-2025 16:31:50,8.37,76.08,4.41,,,,
177,03-07-2025 16:41:50,8.29,78.41,4.76,,,,
178,03-07-2025 16:51:50,8.19,76.84,4.37,,,,
179,03-07-2025 17:01:50,8.11,78.16,4.54,,,,
180,03-07-2025 17:11:50,8.05,78.17,4.49,,,,
181,03-07-2025 17:21:50,7.99,79.53,4.68,,,,
182,03-07-2025 17:31:50,7.92,77.07,4.16,,,,
183,03-07-2025 17:41:50,7.84,77.88,4.23,,,,
184,03-07-2025 17:51:50,7.75,78.19,4.20,,,,
185,03-07-2025 18:01:50,7.66,77.90,4.06,,,,
186,03-07-2025 18:11:50,7.58,78.61,4.11,,,,
187,03-07-2025 18:21:50,7.48,79.65,4.20,,,,
188,03-07-2025 18:31:50,7.41,78.73,3.96,,,,
189,03-07-2025 18:41:50,7.36,78.87,3.94,,,,
190,03-07-2025 18:51:50,7.33,79.60,4.04,,,,
191,03-07-2025 19:01:50,7.26,79.49,3.96,,,,
192,03-07-2025 19:11:50,7.23,79.25,3.88,,,,
193,03-07-2025 19:21:50,7.19,79.56,3.90,,,,
194,03-07-2025 19:31:50,7.16,80.16,3.98,,,,
195,03-07-2025 19:41:50,7.12,79.62,3.85,,,,
196,03-07-2025 19:51:50,7.08,80.02,3.88,,,,
197,03-07-2025 20:01:50,7.05,79.89,3.83,,,,
198,03-07-2025 20:11:50,6.97,80.03,3.77,,,,
199,03-07-2025 20:21:50,6.97,79.64,3.70,,,,
200,03-07-2025 20:31:50,7.01,79.51,3.71,,,,
201,03-07-2025 20:41:50,7.01,79.21,3.66,,,,
202,03-07-2025 20:51:50,7.03,78.75,3.60,,,,
203,03-07-2025 21:01:50,7.02,80.12,3.84,,,,
204,03-07-2025 21:11:50,7.03,79.77,3.78,,,,
205,03-07-2025 21:21:50,7.01,79.62,3.74,,,,
206,03-07-2025 21:31:50,7.02,79.53,3.73,,,,
207,03-07-2025 21:41:50,7.04,77.21,3.33,,,,
208,03-07-2025 21:51:50,7.03,76.48,3.19,,,,
209,03-07-2025 22:01:50,7.08,76.95,3.32,,,,
210,03-07-2025 22:11:50,7.02,78.58,3.56,,,,
211,03-07-2025 22:21:50,6.99,79.10,3.62,,,,
212,03-07-2025 22:31:50,6.99,79.69,3.73,,,,
213,03-07-2025 22:41:50,7.02,78.74,3.59,,,,
214,03-07-2025 22:51:50,7.01,79.32,3.69,,,,
215,03-07-2025 23:01:50,7.00,79.00,3.61,,,,
216,03-07-2025 23:11:50,7.01,79.23,3.67,,,,
217,03-07-2025 23:21:50,7.05,79.20,3.70,,,,
218,03-07-2025 23:31:50,7.02,80.84,3.96,,,,
219,03-07-2025 23:41:50,6.96,81.88,4.09,,,,
220,03-07-2025 23:51:50,6.86,84.61,4.45,,,,
221,03-08-2025 00:01:50,6.78,85.76,4.57,,,,
222,03-08-2025 00:11:50,6.69,87.03,4.69,,,,
223,03-08-2025 00:21:50,6.61,87.94,4.77,,,,
224,03-08-2025 00:31:50,6.56,88.69,4.83,,,,
225,03-08-2025 00:41:50,6.54,88.19,4.73,,,,
226,03-08-2025 00:51:50,6.56,88.08,4.74,,,,
227,03-08-2025 01:01:50,6.54,88.60,4.80,,,,
228,03-08-2025 01:11:50,6.52,89.44,4.92,,,,
229,03-08-2025 01:21:50,6.51,88.85,4.81,,,,
230,03-08-2025 01:31:50,6.46,89.12,4.80,,,,
231,03-08-2025 01:41:50,6.42,89.80,4.88,,,,
232,03-08-2025 01:51:50,6.34,90.46,4.90,,,,
233,03-08-2025 02:01:50,6.28,91.66,5.03,,,,
234,03-08-2025 02:11:50,6.25,91.98,5.05,,,,
235,03-08-2025 02:21:50,6.23,92.50,5.11,,,,
236,03-08-2025 02:31:50,6.20,92.86,5.14,,,,
237,03-08-2025 02:41:50,6.15,93.22,5.14,,,,
238,03-08-2025 02:51:50,6.10,93.98,5.21,,,,
239,03-08-2025 03:01:50,6.08,94.03,5.20,,,,
240,03-08-2025 03:11:50,6.08,94.05,5.20,,,,
241,03-08-2025 03:21:50,6.05,93.88,5.15,,,,
242,03-08-2025 03:31:50,6.04,93.67,5.10,,,,
243,03-08-2025 03:41:50,6.01,93.93,5.12,,,,
244,03-08-2025 03:51:50,6.00,94.21,5.14,,,,
245,03-08-2025 04:01:50,5.98,94.45,5.16,,,,
246,03-08-2025 04:11:50,5.98,94.50,5.17,,,,
247,03-08-2025 04:21:50,5.98,94.45,5.16,,,,
248,03-08-2025 04:31:50,5.98,94.52,5.17,,,,
249,03-08-2025 04:41:50,5.98,94.44,5.16,,,,
250,03-08-2025 04:51:50,5.97,94.32,5.13,,,,
251,03-08-2025 05:01:50,5.95,94.17,5.09,,,,
252,03-08-2025 05:11:50,5.91,94.20,5.06,,,,
253,03-08-2025 05:21:50,5.87,94.14,5.00,,,,
254,03-08-2025 05:31:50,5.82,94.02,4.94,,,,
255,03-08-2025 05:41:50,5.75,93.84,4.84,,,,
256,03-08-2025 05:51:50,5.70,93.93,4.81,,,,
257,03-08-2025 06:01:50,5.66,94.03,4.78,,,,
258,03-08-2025 06:11:50,5.60,94.07,4.73,,,,
259,03-08-2025 06:21:50,5.53,94.04,4.65,,,,
260,03-08-2025 06:31:50,5.48,94.00,4.60,,,,
261,03-08-2025 06:41:50,5.43,94.39,4.61,,,,
262,03-08-2025 06:51:50,5.40,94.21,4.54,,,,
263,03-08-2025 07:01:50,5.36,94.52,4.55,,,,
264,03-08-2025 07:11:50,5.34,94.85,4.58,,,,
265,03-08-2025 07:21:50,5.34,95.14,4.63,,,,
266,03-08-2025 07:31:50,5.35,95.17,4.64,,,,
267,03-08-2025 07:41:50,5.37,95.13,4.66,,,,
268,03-08-2025 07:51:50,5.43,95.50,4.78,,,,
269,03-08-2025 08:01:50,5.50,95.51,4.84,,,,
270,03-08-2025 08:11:50,5.54,95.05,4.82,,,,
271,03-08-2025 08:21:50,5.58,94.78,4.81,,,,
272,03-08-2025 08:31:50,5.58,94.51,4.77,,,,
273,03-08-2025 08:41:50,5.59,94.76,4.82,,,,
274,03-08-2025 08:51:50,5.62,94.90,4.87,,,,
275,03-08-2025 09:01:50,5.62,94.82,4.86,,,,
276,03-08-2025 09:11:50,5.62,95.06,4.90,,,,
277,03-08-2025 09:21:50,5.65,95.33,4.97,,,,
278,03-08-2025 09:31:50,5.73,95.54,5.08,,,,
279,03-08-2025 09:41:50,5.83,95.42,5.16,,,,
280,03-08-2025 09:51:50,5.90,94.84,5.14,,,,
281,03-08-2025 10:01:50,5.99,94.99,5.25,,,,
282,03-08-2025 10:11:50,6.04,94.88,5.28,,,,
283,03-08-2025 10:21:50,6.14,95.09,5.42,,,,
284,03-08-2025 10:31:50,6.23,95.02,5.50,,,,
285,03-08-2025 10:41:50,6.32,95.19,5.61,,,,
286,03-08-2025 10:51:50,6.44,94.40,5.61,,,,
287,03-08-2025 11:01:50,6.54,94.43,5.71,,,,
288,03-08-2025 11:11:50,6.63,94.42,5.80,,,,
289,03-08-2025 11:21:50,6.59,94.14,5.72,,,,
290,03-08-2025 11:31:50,6.63,94.06,5.75,,,,
291,03-08-2025 11:41:50,6.66,94.10,5.79,,,,
292,03-08-2025 11:51:50,6.54,93.63,5.60,,,,
293,03-08-2025 12:01:50,6.61,94.03,5.73,,,,
294,03-08-2025 12:11:50,6.70,94.07,5.82,,,,
295,03-08-2025 12:21:50,6.78,93.93,5.88,,,,
296,03-08-2025 12:31:50,6.83,93.87,5.92,,,,
297,03-08-2025 12:41:50,6.85,93.51,5.88,,,,
298,03-08-2025 12:51:50,6.91,93.44,5.93,,,,
299,03-08-2025 13:01:50,6.95,93.65,6.01,,,,
300,03-08-2025 13:11:50,7.00,95.52,6.34,,,,
301,03-08-2025 13:21:50,7.03,95.72,6.40,,,,
302,03-08-2025 13:31:50,7.06,94.93,6.31,,,,
303,03-08-2025 13:41:50,7.05,94.92,6.30,,,,
304,03-08-2025 13:51:50,7.06,96.11,6.49,,,,
305,03-08-2025 14:01:50,7.05,95.71,6.42,,,,
306,03-08-2025 14:11:50,7.07,95.28,6.37,,,,
307,03-08-2025 14:21:50,7.13,94.66,6.34,,,,
308,03-08-2025 14:31:50,7.15,94.29,6.30,,,,
309,03-08-2025 14:41:50,7.19,94.84,6.43,,,,
310,03-08-2025 14:51:50,7.26,95.06,6.52,,,,
311,03-08-2025 15:01:50,7.31,95.03,6.57,,,,
312,03-08-2025 15:11:50,7.34,94.82,6.57,,,,
313,03-08-2025 15:21:50,7.37,94.89,6.61,,,,
314,03-08-2025 15:31:50,7.41,95.02,6.67,,,,
315,03-08-2025 15:41:50,7.48,96.55,6.97,,,,
316,03-08-2025 15:51:50,7.51,96.95,7.06,,,,
317,03-08-2025 16:01:50,7.53,96.69,7.04,,,,
318,03-08-2025 16:11:50,7.53,96.20,6.97,,,,
319,03-08-2025 16:21:50,7.55,95.86,6.93,,,,
320,03-08-2025 16:31:50,7.59,95.85,6.97,,,,
321,03-08-2025 16:41:50,7.61,95.85,7.00,,,,
322,03-08-2025 16:51:50,7.65,96.07,7.08,,,,
323,03-08-2025 17:01:50,7.68,95.99,7.09,,,,
324,03-08-2025 17:11:50,7.68,95.85,7.07,,,,
325,03-08-2025 17:21:50,7.69,95.85,7.07,,,,
326,03-08-2025 17:31:50,7.70,95.79,7.07,,,,
327,03-08-2025 17:41:50,7.70,95.77,7.08,,,,
328,03-08-2025 17:51:50,7.73,95.74,7.10,,,,
329,03-08-2025 18:01:50,7.72,95.67,7.08,,,,
330,03-08-2025 18:11:50,7.70,95.70,7.06,,,,
331,03-08-2025 18:21:50,7.70,95.75,7.07,,,,
332,03-08-2025 18:31:50,7.70,95.72,7.06,,,,
333,03-08-2025 18:41:50,7.69,96.01,7.10,,,,
334,03-08-2025 18:51:50,7.70,96.34,7.16,,,,
335,03-08-2025 19:01:50,7.67,96.44,7.15,,,,
336,03-08-2025 19:11:50,7.65,96.50,7.14,,,,
337,03-08-2025 19:21:50,7.67,96.62,7.18,,,,
338,03-08-2025 19:31:50,7.73,96.77,7.26,,,,
339,03-08-2025 19:41:50,7.79,96.92,7.34,,,,
340,03-08-2025 19:51:50,7.88,96.93,7.43,,,,
341,03-08-2025 20:01:50,7.99,96.88,7.53,,,,
342,03-08-2025 20:11:50,8.10,96.70,7.62,,,,
343,03-08-2025 20:21:50,8.20,96.57,7.70,,,,
344,03-08-2025 20:31:50,8.25,96.21,7.69,,,,
345,03-08-2025 20:41:50,8.31,96.00,7.72,,,,
346,03-08-2025 20:51:50,8.37,95.65,7.73,,,,
347,03-08-2025 21:01:50,8.44,95.42,7.75,,,,
348,03-08-2025 21:11:50,8.52,95.04,7.78,,,,
349,03-08-2025 21:21:50,8.50,94.76,7.72,,,,
350,03-08-2025 21:31:50,8.52,94.46,7.69,,,,
351,03-08-2025 21:41:50,8.56,94.08,7.67,,,,
352,03-08-2025 21:51:50,8.59,93.82,7.66,,,,
353,03-08-2025 22:01:50,8.60,93.57,7.63,,,,
354,03-08-2025 22:11:50,8.59,93.29,7.57,,,,
355,03-08-2025 22:21:50,8.59,93.00,7.53,,,,
356,03-08-2025 22:31:50,8.58,93.03,7.52,,,,
357,03-08-2025 22:41:50,8.55,93.01,7.49,,,,
358,03-08-2025 22:51:50,8.55,92.82,7.46,,,,
359,03-08-2025 23:01:50,8.59,92.53,7.45,,,,
360,03-08-2025 23:11:50,8.59,92.06,7.39,,,,
361,03-08-2025 23:21:50,8.59,91.99,7.37,,,,
362,03-08-2025 23:31:50,8.60,91.76,7.35,,,,
363,03-08-2025 23:41:50,8.59,91.42,7.28,,,,
364,03-08-2025 23:51:50,8.61,91.24,7.27,,,,
365,03-09-2025 00:01:50,8.60,90.81,7.19,,,,
366,03-09-2025 00:11:50,8.55,91.23,7.21,,,,
367,03-09-2025 00:21:50,8.51,90.76,7.09,,,,
368,03-09-2025 00:31:50,8.51,90.15,6.99,,,,
369,03-09-2025 00:41:50,8.48,89.62,6.88,,,,
370,03-09-2025 00:51:50,8.49,88.89,6.77,,,,
371,03-09-2025 01:01:50,8.51,88.31,6.69,,,,
372,03-09-2025 01:11:50,8.50,87.81,6.60,,,,
373,03-09-2025 01:21:50,8.49,87.62,6.56,,,,
374,03-09-2025 01:31:50,8.48,87.31,6.50,,,,
375,03-09-2025 01:41:50,8.49,86.95,6.45,,,,
376,03-09-2025 01:51:50,8.48,86.81,6.42,,,,
377,03-09-2025 03:01:50,8.48,86.74,6.40,,,,
378,03-09-2025 03:11:50,8.45,86.52,6.34,,,,
379,03-09-2025 03:21:50,8.44,86.22,6.28,,,,
380,03-09-2025 03:31:50,8.44,85.77,6.20,,,,
381,03-09-2025 03:41:50,8.43,86.04,6.24,,,,
382,03-09-2025 03:51:50,8.38,86.28,6.23,,,,
383,03-09-2025 04:01:50,8.37,86.13,6.20,,,,
384,03-09-2025 04:11:50,8.37,85.92,6.16,,,,
385,03-09-2025 04:21:50,8.35,85.92,6.14,,,,
386,03-09-2025 04:31:50,8.33,85.93,6.13,,,,
387,03-09-2025 04:41:50,8.33,85.60,6.06,,,,
388,03-09-2025 04:51:50,8.33,85.49,6.05,,,,
389,03-09-2025 05:01:50,8.32,85.78,6.09,,,,
390,03-09-2025 05:11:50,8.29,85.79,6.06,,,,
391,03-09-2025 05:21:50,8.28,85.85,6.06,,,,
392,03-09-2025 05:31:50,8.29,85.46,6.00,,,,
393,03-09-2025 05:41:50,8.33,84.99,5.97,,,,
394,03-09-2025 05:51:50,8.37,85.05,6.01,,,,
395,03-09-2025 06:01:50,8.36,84.90,5.98,,,,
396,03-09-2025 06:11:50,8.31,84.98,5.94,,,,
397,03-09-2025 06:21:50,8.29,85.25,5.97,,,,
398,03-09-2025 06:31:50,8.26,85.44,5.97,,,,
399,03-09-2025 06:41:50,8.23,85.30,5.92,,,,
400,03-09-2025 06:51:50,8.18,87.20,6.18,,,,
401,03-09-2025 07:01:50,8.08,88.71,6.34,,,,
402,03-09-2025 07:11:50,7.98,89.28,6.33,,,,
403,03-09-2025 07:21:50,7.89,90.68,6.47,,,,
404,03-09-2025 07:31:50,7.81,91.12,6.46,,,,
405,03-09-2025 07:41:50,7.76,91.46,6.47,,,,
406,03-09-2025 07:51:50,7.70,94.03,6.81,,,,
407,03-09-2025 08:01:50,7.66,95.56,7.01,,,,
408,03-09-2025 08:11:50,7.64,95.48,6.97,,,,
409,03-09-2025 08:21:50,7.61,94.27,6.76,,,,
410,03-09-2025 08:31:50,7.61,93.63,6.65,,,,
411,03-09-2025 08:41:50,7.60,93.49,6.63,,,,
412,03-09-2025 08:51:50,7.61,93.51,6.64,,,,
413,03-09-2025 09:01:50,7.61,93.46,6.63,,,,
414,03-09-2025 09:11:50,7.63,93.52,6.66,,,,
415,03-09-2025 09:21:50,7.64,93.69,6.69,,,,
416,03-09-2025 09:31:50,7.65,93.83,6.73,,,,
417,03-09-2025 09:41:50,7.67,95.74,7.04,,,,
418,03-09-2025 09:51:50,7.70,94.43,6.87,,,,
419,03-09-2025 10:01:50,7.79,94.11,6.91,,,,
420,03-09-2025 10:11:50,7.90,93.80,6.97,,,,
421,03-09-2025 10:21:50,7.94,93.38,6.94,,,,
422,03-09-2025 10:31:50,7.98,93.31,6.98,,,,
423,03-09-2025 10:41:50,8.05,93.31,7.05,,,,
424,03-09-2025 10:51:50,8.11,93.14,7.07,,,,
425,03-09-2025 11:01:50,8.19,93.53,7.21,,,,
426,03-09-2025 11:11:50,8.30,93.26,7.29,,,,
427,03-09-2025 11:21:50,8.37,92.60,7.24,,,,
428,03-09-2025 11:31:50,8.35,92.32,7.19,,,,
429,03-09-2025 11:41:50,8.39,92.91,7.32,,,,
430,03-09-2025 11:51:50,8.41,92.61,7.29,,,,
431,03-09-2025 12:01:50,8.43,93.18,7.40,,,,
432,03-09-2025 12:11:50,8.44,93.34,7.44,,,,
433,03-09-2025 12:21:50,8.37,93.00,7.32,,,,
434,03-09-2025 12:31:50,8.11,93.11,7.07,,,,
435,03-09-2025 12:41:50,8.01,93.31,7.01,,,,
436,03-09-2025 12:51:50,7.87,92.86,6.80,,,,
437,03-09-2025 13:01:50,7.75,92.50,6.62,,,,
438,03-09-2025 13:11:50,7.68,92.20,6.50,,,,
439,03-09-2025 13:21:50,7.63,94.85,6.87,,,,
440,03-09-2025 13:31:50,7.66,95.03,6.92,,,,
441,03-09-2025 13:41:50,7.77,94.01,6.88,,,,
442,03-09-2025 13:51:50,7.92,93.33,6.92,,,,
443,03-09-2025 14:01:50,7.97,92.30,6.81,,,,
444,03-09-2025 14:11:50,8.01,92.28,6.85,,,,
445,03-09-2025 14:21:50,8.12,92.62,7.00,,,,
446,03-09-2025 14:31:50,8.21,91.82,6.97,,,,
447,03-09-2025 14:41:50,8.23,92.13,7.04,,,,
448,03-09-2025 14:51:50,8.12,91.87,6.89,,,,
449,03-09-2025 15:01:50,8.24,92.59,7.12,,,,
